evaluation,experiment,comparison,level,error_type,code,n_cases
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-00,152
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-02,151
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-00,98
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-00,56
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-00-00,52
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-00,45
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-00-00,42
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-01,42
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-05,40
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-04-00,38
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-00-00,33
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-04,32
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-02,31
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-00,27
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-06,26
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-08-01,22
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-00-00,22
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-08-00,21
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-05-00,20
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-04,20
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-03,19
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-04,16
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-07-00,16
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-06-00,16
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-03-00,14
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-04-00,13
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-01,11
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-02,11
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-00-00,10
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-05-00,10
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-02,7
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-05-00,7
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-09-01,6
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-03,6
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-03,6
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-03-00,6
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-09-00,5
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-03,5
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-01,5
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-02,4
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-07-01,4
EXP1 narrative-present sensitivity,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-02-00,4
