evaluation,metric_type,comparison,level,class_metric_kind,class,support,tp,fp,fn,precision,recall,f1,cohen_kappa_one_vs_rest
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,00-02-00,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,00-03-00,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-00-00,14,0,0,14,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-00,12,1,2,11,0.3333333333333333,0.08333333333333333,0.13333333333333333,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-01,11,7,4,4,0.6363636363636364,0.6363636363636364,0.6363636363636364,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-02,10,7,6,3,0.5384615384615384,0.7,0.608695652173913,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-04,25,9,12,16,0.42857142857142855,0.36,0.391304347826087,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-05,8,3,6,5,0.3333333333333333,0.375,0.35294117647058826,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-06,26,6,6,20,0.5,0.23076923076923078,0.3157894736842105,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-99,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-03-00,3,0,2,3,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-00,3,0,0,3,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-01,26,6,2,20,0.75,0.23076923076923078,0.3529411764705882,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-02,2,1,21,1,0.045454545454545456,0.5,0.08333333333333334,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-03,5,2,0,3,1.0,0.4,0.5714285714285715,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,01-05-00,2,2,10,0,0.16666666666666666,1.0,0.2857142857142857,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,02-03-00,2,2,2,0,0.5,1.0,0.6666666666666666,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,02-05-00,2,0,0,2,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-00-00,3,0,0,3,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-00,4,0,0,4,,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-01,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-02,31,18,2,13,0.9,0.5806451612903226,0.7058823529411764,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-03,4,3,4,1,0.42857142857142855,0.75,0.5454545454545454,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-04,41,25,8,16,0.7575757575757576,0.6097560975609756,0.6756756756756757,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-99,0,0,3,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-00,0,0,32,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-01,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-02,1,1,2,0,0.3333333333333333,1.0,0.5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-00,13,0,1,13,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-01,1,0,1,1,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-02,3,1,4,2,0.2,0.3333333333333333,0.25,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-03,2,2,11,0,0.15384615384615385,1.0,0.2666666666666667,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-99,0,0,1,0,0.0,,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-00,2,0,1,2,0.0,0.0,,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-01,1,1,0,0,1.0,1.0,1.0,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-02,1,1,6,0,0.14285714285714285,1.0,0.25,
