cause_code,cause_name,total,adult / 15-24,adult / 25-44,adult / 45-64,adult / 65+,child / 0,child / 1-4,child / 5-9,child / 10-14,infant / 0
01-01,Acute febrile illness,816 (23.1%),13.9%,10.6%,9.1%,14.8%,59.2%,58.3%,45.0%,31.4%,2.8%
01-04,TB/AIDS,805 (22.8%),19.6%,50.5%,40.7%,5.4%,9.6%,9.3%,11.4%,14.3%,0.2%
03-01,Cardiovascular disorder,479 (13.6%),4.1%,1.2%,13.7%,41.3%,0.0%,0.2%,0.7%,0.0%,0.0%
03-03,Gastro intestinal disorder,192 (5.4%),6.7%,8.8%,6.5%,7.0%,1.3%,0.5%,2.1%,2.9%,0.0%
05-05,Birth injury/asphyxia,182 (5.2%),0.0%,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,36.1%
03-06,Neoplasm,177 (5.0%),3.6%,3.2%,8.6%,9.3%,0.0%,0.9%,0.7%,8.6%,0.0%
05-03,Prematurity/low birth weight,131 (3.7%),0.0%,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,25.9%
03-05,Endocrine disorders,109 (3.1%),2.1%,1.8%,4.8%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%
05-06,Neonatal sepsis,99 (2.8%),0.0%,0.0%,0.0%,0.0%,2.5%,0.0%,0.0%,0.0%,19.0%
03-08,Anaemia,76 (2.2%),2.6%,0.9%,1.4%,2.2%,1.9%,4.3%,5.0%,2.9%,0.0%
03-04,Central nervous system disorder,75 (2.1%),9.3%,3.5%,1.5%,1.6%,0.6%,0.5%,0.7%,2.9%,0.0%
04-01,Transport,70 (2.0%),6.7%,3.8%,1.9%,0.9%,0.0%,0.3%,4.3%,2.9%,0.0%
03-09,Nutritional disorder,62 (1.8%),0.5%,0.1%,0.0%,0.8%,5.1%,6.2%,5.0%,2.9%,0.2%
04-03,Drowning/submersion,56 (1.6%),5.2%,1.9%,0.7%,0.2%,0.0%,2.1%,7.1%,8.6%,0.0%
03-02,Respiratory disorder,51 (1.4%),1.5%,0.6%,2.4%,2.4%,0.0%,1.0%,0.7%,0.0%,0.0%
01-05,Diarrhoeal disease without fever,45 (1.3%),0.0%,0.0%,0.7%,1.1%,2.5%,4.7%,0.0%,0.0%,0.0%
04-05,Poisoning/exposure to noxious substance,36 (1.0%),3.1%,1.7%,1.4%,0.4%,0.0%,0.3%,2.1%,0.0%,0.0%
03-07,Genito urinary disorders,30 (0.8%),0.0%,0.1%,0.9%,2.4%,0.0%,0.2%,0.7%,0.0%,0.0%
04-08,Hanging,24 (0.7%),2.6%,1.6%,0.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
04-02,Fall,18 (0.5%),0.5%,0.3%,0.0%,1.1%,0.0%,0.2%,2.1%,2.9%,0.0%
