cause_code,cause_name,total_true_positive_cases,adult / 15-24 n,adult / 15-24 %,adult / 25-44 n,adult / 25-44 %,adult / 45-64 n,adult / 45-64 %,adult / 65+ n,adult / 65+ %,child / 0 n,child / 0 %,child / 1-4 n,child / 1-4 %,child / 5-9 n,child / 5-9 %,child / 10-14 n,child / 10-14 %,infant / 0 n,infant / 0 %
01-01,Acute febrile illness,816,27,13.9%,82,10.6%,53,9.1%,136,14.8%,93,59.2%,337,58.3%,63,45.0%,11,31.4%,14,2.8%
01-04,TB/AIDS,805,38,19.6%,389,50.5%,237,40.7%,50,5.4%,15,9.6%,54,9.3%,16,11.4%,5,14.3%,1,0.2%
03-01,Cardiovascular disorder,479,8,4.1%,9,1.2%,80,13.7%,380,41.3%,0,0.0%,1,0.2%,1,0.7%,0,0.0%,0,0.0%
03-03,Gastro intestinal disorder,192,13,6.7%,68,8.8%,38,6.5%,64,7.0%,2,1.3%,3,0.5%,3,2.1%,1,2.9%,0,0.0%
05-05,Birth injury/asphyxia,182,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.6%,0,0.0%,0,0.0%,0,0.0%,181,36.1%
03-06,Neoplasm,177,7,3.6%,25,3.2%,50,8.6%,86,9.3%,0,0.0%,5,0.9%,1,0.7%,3,8.6%,0,0.0%
05-03,Prematurity/low birth weight,131,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.6%,0,0.0%,0,0.0%,0,0.0%,130,25.9%
03-05,Endocrine disorders,109,4,2.1%,14,1.8%,28,4.8%,63,6.8%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
05-06,Neonatal sepsis,99,0,0.0%,0,0.0%,0,0.0%,0,0.0%,4,2.5%,0,0.0%,0,0.0%,0,0.0%,95,19.0%
03-08,Anaemia,76,5,2.6%,7,0.9%,8,1.4%,20,2.2%,3,1.9%,25,4.3%,7,5.0%,1,2.9%,0,0.0%
03-04,Central nervous system disorder,75,18,9.3%,27,3.5%,9,1.5%,15,1.6%,1,0.6%,3,0.5%,1,0.7%,1,2.9%,0,0.0%
04-01,Transport,70,13,6.7%,29,3.8%,11,1.9%,8,0.9%,0,0.0%,2,0.3%,6,4.3%,1,2.9%,0,0.0%
03-09,Nutritional disorder,62,1,0.5%,1,0.1%,0,0.0%,7,0.8%,8,5.1%,36,6.2%,7,5.0%,1,2.9%,1,0.2%
04-03,Drowning/submersion,56,10,5.2%,15,1.9%,4,0.7%,2,0.2%,0,0.0%,12,2.1%,10,7.1%,3,8.6%,0,0.0%
03-02,Respiratory disorder,51,3,1.5%,5,0.6%,14,2.4%,22,2.4%,0,0.0%,6,1.0%,1,0.7%,0,0.0%,0,0.0%
01-05,Diarrhoeal disease without fever,45,0,0.0%,0,0.0%,4,0.7%,10,1.1%,4,2.5%,27,4.7%,0,0.0%,0,0.0%,0,0.0%
04-05,Poisoning/exposure to noxious substance,36,6,3.1%,13,1.7%,8,1.4%,4,0.4%,0,0.0%,2,0.3%,3,2.1%,0,0.0%,0,0.0%
03-07,Genito urinary disorders,30,0,0.0%,1,0.1%,5,0.9%,22,2.4%,0,0.0%,1,0.2%,1,0.7%,0,0.0%,0,0.0%
04-08,Hanging,24,5,2.6%,12,1.6%,4,0.7%,3,0.3%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
04-02,Fall,18,1,0.5%,2,0.3%,0,0.0%,10,1.1%,0,0.0%,1,0.2%,3,2.1%,1,2.9%,0,0.0%
