level,cause_code,cause_name,stratum,n_true_positive_cases,denominator_comparable_cases,percent_of_comparable_cases
level1,04,External cause,adult / female,161,1245,0.12931726907630522
level1,01,Communicable disease,adult / male,555,1223,0.4538021259198692
level1,03,Non communicable disease,adult / male,606,1223,0.49550286181520853
level1,03,Non communicable disease,adult / female,582,1245,0.4674698795180723
level1,01,Communicable disease,adult / female,542,1245,0.4353413654618474
level1,04,External cause,adult / male,40,1223,0.032706459525756335
level1,02,Direct maternal cause,adult / male,51,1223,0.041700735895339326
level1,04,External cause,child / female,37,491,0.07535641547861507
level1,01,Communicable disease,child / male,331,422,0.7843601895734598
level1,01,Communicable disease,child / female,369,491,0.7515274949083504
level1,03,Non communicable disease,child / male,57,422,0.13507109004739337
level1,03,Non communicable disease,child / female,84,491,0.1710794297352342
level1,04,External cause,child / male,27,422,0.06398104265402843
level1,05,Causes specific to infancy,adult / male,1,1223,0.0008176614881439084
level1,05,Causes specific to infancy,infant / female,259,278,0.9316546762589928
level1,05,Causes specific to infancy,infant / male,203,223,0.9103139013452914
level1,01,Communicable disease,infant / female,9,278,0.03237410071942446
level1,01,Communicable disease,infant / male,6,223,0.026905829596412557
level1,05,Causes specific to infancy,child / male,12,422,0.02843601895734597
level1,03,Non communicable disease,infant / female,1,278,0.0035971223021582736
level1,05,Causes specific to infancy,child / female,9,491,0.018329938900203666
level1,02,Direct maternal cause,infant / male,2,223,0.008968609865470852
level1,02,Direct maternal cause,infant / female,1,278,0.0035971223021582736
level2,04-03,Drowning/submersion,adult / female,26,1245,0.020883534136546186
level2,01-04,TB/AIDS,adult / male,357,1223,0.2919051512673753
level2,03-06,Neoplasm,adult / male,108,1223,0.08830744071954211
level2,03-01,Cardiovascular disorder,adult / female,188,1245,0.15100401606425704
level2,03-01,Cardiovascular disorder,adult / male,289,1223,0.23630417007358953
level2,03-06,Neoplasm,adult / female,60,1245,0.04819277108433735
level2,01-04,TB/AIDS,adult / female,357,1245,0.28674698795180725
level2,01-01,Acute febrile illness,adult / male,161,1223,0.13164349959116925
level2,03-07,Genito urinary disorders,adult / female,26,1245,0.020883534136546186
level2,03-03,Gastro intestinal disorder,adult / male,52,1223,0.04251839738348324
level2,03-05,Endocrine disorders,adult / male,55,1223,0.044971381847914965
level2,03-03,Gastro intestinal disorder,adult / female,131,1245,0.10522088353413654
level2,03-08,Anaemia,adult / female,16,1245,0.01285140562248996
level2,03-05,Endocrine disorders,adult / female,54,1245,0.043373493975903614
level2,04-01,Transport,adult / female,50,1245,0.040160642570281124
level2,04-05,Poisoning/exposure to noxious substance,adult / female,26,1245,0.020883534136546186
level2,03-08,Anaemia,adult / male,24,1223,0.019623875715453803
level2,01-01,Acute febrile illness,adult / female,137,1245,0.11004016064257029
level2,03-04,Central nervous system disorder,adult / male,28,1223,0.022894521668029435
level2,03-02,Respiratory disorder,adult / female,25,1245,0.020080321285140562
level2,02-04,Obstructed labour,adult / male,10,1223,0.008176614881439084
level2,04-08,Hanging,adult / male,2,1223,0.001635322976287817
level2,04-08,Hanging,adult / female,22,1245,0.017670682730923693
level2,03-02,Respiratory disorder,adult / male,19,1223,0.01553556827473426
level2,03-04,Central nervous system disorder,adult / female,41,1245,0.03293172690763052
level2,04-06,Use of weapon,adult / female,14,1245,0.011244979919678716
level2,04-05,Poisoning/exposure to noxious substance,adult / male,5,1223,0.004088307440719542
level2,03-09,Nutritional disorder,adult / male,4,1223,0.003270645952575634
level2,01-05,Diarrhoeal disease without fever,adult / female,5,1245,0.004016064257028112
level2,04-01,Transport,adult / male,11,1223,0.008994276369582993
level2,02-01,Abortion,adult / male,4,1223,0.003270645952575634
level2,04-02,Fall,adult / male,7,1223,0.005723630417007359
level2,02-03,Ante postpartum haemorrhage,adult / male,17,1223,0.013900245298446443
level2,04-02,Fall,adult / female,6,1245,0.004819277108433735
level2,01-05,Diarrhoeal disease without fever,adult / male,9,1223,0.007358953393295176
level2,03-09,Nutritional disorder,adult / female,5,1245,0.004016064257028112
level2,02-05,Puerperal sepsis,adult / male,7,1223,0.005723630417007359
level2,04-03,Drowning/submersion,adult / male,5,1223,0.004088307440719542
level2,01-07,Rabies,adult / male,1,1223,0.0008176614881439084
level2,03-07,Genito urinary disorders,adult / male,2,1223,0.001635322976287817
level2,01-03,Hepatitis,adult / female,4,1245,0.00321285140562249
level2,01-04,TB/AIDS,child / female,42,491,0.0855397148676171
