level,cause_code,cause_name,Adult,Child,Infant,Total
Level 2,01-01,Communicable disease: Acute febrile illness,478 (13.7%),567 (54.1%),43 (7.0%),1088 (21.1%)
Level 2,01-04,Communicable disease: TB/AIDS,763 (21.9%),88 (8.4%),0 (0.0%),851 (16.5%)
Level 2,03-01,Non communicable disease: Cardiovascular disorder,719 (20.6%),12 (1.1%),0 (0.0%),731 (14.2%)
Level 2,03-06,Non communicable disease: Neoplasm,295 (8.5%),14 (1.3%),0 (0.0%),309 (6.0%)
Level 2,03-03,Non communicable disease: Gastro intestinal disorder,292 (8.4%),13 (1.2%),1 (0.2%),306 (5.9%)
Level 2,05-03,Causes specific to infancy: Prematurity/low birth weight,0 (0.0%),6 (0.6%),165 (26.9%),171 (3.3%)
Level 2,05-05,Causes specific to infancy: Birth injury/asphyxia,0 (0.0%),3 (0.3%),151 (24.6%),154 (3.0%)
Level 2,01-05,Communicable disease: Diarrhoeal disease without fever,54 (1.5%),87 (8.3%),0 (0.0%),141 (2.7%)
Level 2,05-06,Causes specific to infancy: Neonatal sepsis,0 (0.0%),7 (0.7%),110 (17.9%),117 (2.3%)
Level 2,03-04,Non communicable disease: Central nervous system disorder,92 (2.6%),22 (2.1%),0 (0.0%),114 (2.2%)
Level 2,03-05,Non communicable disease: Endocrine disorders,97 (2.8%),1 (0.1%),0 (0.0%),98 (1.9%)
Level 2,04-01,External cause: Transport,84 (2.4%),14 (1.3%),0 (0.0%),98 (1.9%)
Level 2,02-04,Direct maternal cause: Obstructed labour,15 (0.4%),0 (0.0%),71 (11.6%),86 (1.7%)
Level 2,03-09,Non communicable disease: Nutritional disorder,17 (0.5%),64 (6.1%),2 (0.3%),83 (1.6%)
Level 2,03-02,Non communicable disease: Respiratory disorder,69 (2.0%),12 (1.1%),0 (0.0%),81 (1.6%)
Level 2,03-07,Non communicable disease: Genito urinary disorders,71 (2.0%),6 (0.6%),1 (0.2%),78 (1.5%)
Level 2,00-03,Unspecifiable: No significant pathology that would explain the death,56 (1.6%),4 (0.4%),5 (0.8%),65 (1.3%)
Level 2,04-03,External cause: Drowning/submersion,29 (0.8%),30 (2.9%),0 (0.0%),59 (1.1%)
Level 2,04-05,External cause: Poisoning/exposure to noxious substance,50 (1.4%),6 (0.6%),0 (0.0%),56 (1.1%)
Level 2,00-02,Unspecifiable: Specific information missing on VAQ,41 (1.2%),4 (0.4%),4 (0.7%),49 (1.0%)
Level 2,03-08,Non communicable disease: Anaemia,24 (0.7%),21 (2.0%),0 (0.0%),45 (0.9%)
Level 2,04-08,External cause: Hanging,40 (1.1%),1 (0.1%),0 (0.0%),41 (0.8%)
Level 2,03-99,Non communicable disease: Other specific unlisted,26 (0.7%),10 (1.0%),0 (0.0%),36 (0.7%)
Level 2,04-06,External cause: Use of weapon,34 (1.0%),0 (0.0%),0 (0.0%),34 (0.7%)
Level 2,04-02,External cause: Fall,28 (0.8%),5 (0.5%),0 (0.0%),33 (0.6%)
Level 2,01-99,Communicable disease: Other specific unlisted,28 (0.8%),4 (0.4%),0 (0.0%),32 (0.6%)
Level 2,05-08,Causes specific to infancy: Sudden infant death syndrome,0 (0.0%),9 (0.9%),19 (3.1%),28 (0.5%)
Level 2,05-04,Causes specific to infancy: Congenital abnormality,1 (0.0%),11 (1.0%),15 (2.4%),27 (0.5%)
Level 2,04-99,External cause: Other specific unlisted,14 (0.4%),5 (0.5%),0 (0.0%),19 (0.4%)
Level 2,02-03,Direct maternal cause: Ante postpartum haemorrhage,16 (0.5%),0 (0.0%),0 (0.0%),16 (0.3%)
Level 2,04-09,External cause: Choking,1 (0.0%),6 (0.6%),8 (1.3%),15 (0.3%)
Level 2,01-03,Communicable disease: Hepatitis,12 (0.3%),2 (0.2%),0 (0.0%),14 (0.3%)
Level 2,05-00,Causes specific to infancy: Unspecifiable,0 (0.0%),1 (0.1%),10 (1.6%),11 (0.2%)
Level 2,02-02,Direct maternal cause: Eclampsia,8 (0.2%),0 (0.0%),2 (0.3%),10 (0.2%)
Level 2,05-99,Causes specific to infancy: Other specific unlisted,0 (0.0%),3 (0.3%),6 (1.0%),9 (0.2%)
Level 2,04-07,External cause: Contact with venomous animals and plants,3 (0.1%),5 (0.5%),0 (0.0%),8 (0.2%)
Level 2,02-05,Direct maternal cause: Puerperal sepsis,7 (0.2%),0 (0.0%),0 (0.0%),7 (0.1%)
Level 2,02-99,Direct maternal cause: Other specific unlisted,7 (0.2%),0 (0.0%),0 (0.0%),7 (0.1%)
Level 2,02-01,Direct maternal cause: Abortion,5 (0.1%),0 (0.0%),0 (0.0%),5 (0.1%)
Level 2,04-04,External cause: Exposure to smoke/fire/flames,1 (0.0%),4 (0.4%),0 (0.0%),5 (0.1%)
Level 2,01-07,Communicable disease: Rabies,1 (0.0%),2 (0.2%),0 (0.0%),3 (0.1%)
Level 2,02-06,Direct maternal cause: Anaemia in pregnancy,3 (0.1%),0 (0.0%),0 (0.0%),3 (0.1%)
Level 2,00-04,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",2 (0.1%),0 (0.0%),0 (0.0%),2 (0.0%)
Level 2,00-01,Unspecifiable: No information (VAQ not available),1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
Level 2,01-06,Communicable disease: Tetanus (exc. neonatal tetanus),1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
Level 2,02-00,Direct maternal cause: Unspecifiable,1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
Level 2,04-00,External cause: Unspecifiable,1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
Level 2,05-09,Causes specific to infancy: Neonatal tetanus,0 (0.0%),0 (0.0%),1 (0.2%),1 (0.0%)
