level,cause_code,cause_name,Adult,Child,Infant,Total
Level 2,01-01,Communicable disease: Acute febrile illness,330 (13.5%),510 (55.9%),30 (6.0%),870 (22.5%)
Level 2,01-04,Communicable disease: TB/AIDS,674 (27.5%),81 (8.9%),0 (0.0%),755 (19.5%)
Level 2,03-01,Non communicable disease: Cardiovascular disorder,468 (19.1%),11 (1.2%),0 (0.0%),479 (12.4%)
Level 2,03-06,Non communicable disease: Neoplasm,212 (8.6%),12 (1.3%),0 (0.0%),224 (5.8%)
Level 2,03-03,Non communicable disease: Gastro intestinal disorder,192 (7.8%),8 (0.9%),1 (0.2%),201 (5.2%)
Level 2,05-03,Causes specific to infancy: Prematurity/low birth weight,0 (0.0%),4 (0.4%),140 (27.9%),144 (3.7%)
Level 2,05-05,Causes specific to infancy: Birth injury/asphyxia,0 (0.0%),1 (0.1%),131 (26.1%),132 (3.4%)
Level 2,01-05,Communicable disease: Diarrhoeal disease without fever,35 (1.4%),78 (8.6%),0 (0.0%),113 (2.9%)
Level 2,05-06,Causes specific to infancy: Neonatal sepsis,0 (0.0%),5 (0.5%),93 (18.6%),98 (2.5%)
Level 2,03-09,Non communicable disease: Nutritional disorder,11 (0.4%),63 (6.9%),1 (0.2%),75 (1.9%)
Level 2,04-01,External cause: Transport,62 (2.5%),9 (1.0%),0 (0.0%),71 (1.8%)
Level 2,02-04,Direct maternal cause: Obstructed labour,15 (0.6%),0 (0.0%),55 (11.0%),70 (1.8%)
Level 2,03-04,Non communicable disease: Central nervous system disorder,56 (2.3%),13 (1.4%),0 (0.0%),69 (1.8%)
Level 2,03-02,Non communicable disease: Respiratory disorder,54 (2.2%),10 (1.1%),0 (0.0%),64 (1.7%)
Level 2,03-05,Non communicable disease: Endocrine disorders,57 (2.3%),0 (0.0%),0 (0.0%),57 (1.5%)
Level 2,04-03,External cause: Drowning/submersion,23 (0.9%),25 (2.7%),0 (0.0%),48 (1.2%)
Level 2,03-07,Non communicable disease: Genito urinary disorders,38 (1.5%),5 (0.5%),1 (0.2%),44 (1.1%)
Level 2,04-05,External cause: Poisoning/exposure to noxious substance,30 (1.2%),6 (0.7%),0 (0.0%),36 (0.9%)
Level 2,03-08,Non communicable disease: Anaemia,12 (0.5%),18 (2.0%),0 (0.0%),30 (0.8%)
Level 2,04-08,External cause: Hanging,27 (1.1%),1 (0.1%),0 (0.0%),28 (0.7%)
Level 2,01-99,Communicable disease: Other specific unlisted,22 (0.9%),4 (0.4%),0 (0.0%),26 (0.7%)
Level 2,04-02,External cause: Fall,16 (0.7%),5 (0.5%),0 (0.0%),21 (0.5%)
Level 2,04-06,External cause: Use of weapon,21 (0.9%),0 (0.0%),0 (0.0%),21 (0.5%)
Level 2,05-04,Causes specific to infancy: Congenital abnormality,0 (0.0%),9 (1.0%),11 (2.2%),20 (0.5%)
Level 2,03-99,Non communicable disease: Other specific unlisted,14 (0.6%),5 (0.5%),0 (0.0%),19 (0.5%)
Level 2,05-08,Causes specific to infancy: Sudden infant death syndrome,0 (0.0%),5 (0.5%),11 (2.2%),16 (0.4%)
Level 2,04-99,External cause: Other specific unlisted,10 (0.4%),5 (0.5%),0 (0.0%),15 (0.4%)
Level 2,00-03,Unspecifiable: No significant pathology that would explain the death,11 (0.4%),0 (0.0%),3 (0.6%),14 (0.4%)
Level 2,01-03,Communicable disease: Hepatitis,11 (0.4%),2 (0.2%),0 (0.0%),13 (0.3%)
Level 2,02-03,Direct maternal cause: Ante postpartum haemorrhage,13 (0.5%),0 (0.0%),0 (0.0%),13 (0.3%)
Level 2,00-02,Unspecifiable: Specific information missing on VAQ,8 (0.3%),1 (0.1%),3 (0.6%),12 (0.3%)
Level 2,04-09,External cause: Choking,0 (0.0%),5 (0.5%),6 (1.2%),11 (0.3%)
Level 2,05-00,Causes specific to infancy: Unspecifiable,0 (0.0%),0 (0.0%),9 (1.8%),9 (0.2%)
Level 2,02-05,Direct maternal cause: Puerperal sepsis,7 (0.3%),0 (0.0%),0 (0.0%),7 (0.2%)
Level 2,02-99,Direct maternal cause: Other specific unlisted,7 (0.3%),0 (0.0%),0 (0.0%),7 (0.2%)
Level 2,05-99,Causes specific to infancy: Other specific unlisted,0 (0.0%),3 (0.3%),4 (0.8%),7 (0.2%)
Level 2,04-07,External cause: Contact with venomous animals and plants,2 (0.1%),4 (0.4%),0 (0.0%),6 (0.2%)
Level 2,02-01,Direct maternal cause: Abortion,5 (0.2%),0 (0.0%),0 (0.0%),5 (0.1%)
Level 2,02-02,Direct maternal cause: Eclampsia,4 (0.2%),0 (0.0%),1 (0.2%),5 (0.1%)
Level 2,01-07,Communicable disease: Rabies,1 (0.0%),2 (0.2%),0 (0.0%),3 (0.1%)
Level 2,04-04,External cause: Exposure to smoke/fire/flames,1 (0.0%),2 (0.2%),0 (0.0%),3 (0.1%)
Level 2,02-06,Direct maternal cause: Anaemia in pregnancy,2 (0.1%),0 (0.0%),0 (0.0%),2 (0.1%)
Level 2,00-04,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
Level 2,04-00,External cause: Unspecifiable,1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
Level 2,05-09,Causes specific to infancy: Neonatal tetanus,0 (0.0%),0 (0.0%),1 (0.2%),1 (0.0%)
