cause_code,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-04,-1.17,-7.42,-8.5,-12.42,-5.99,-12.32,-11.17,-1.0
01-01,2.61,-3.98,7.86,12.81,7.82,4.91,4.41,0.32
05-05,-12.33,0.0,1.22,0.0,0.0,0.0,0.0,0.0
03-01,0.25,0.57,-0.21,4.44,1.13,2.22,2.39,-2.3
04-00,-0.76,-1.21,-0.71,-5.88,-1.76,-0.8,-0.69,-0.11
01-05,0.74,5.72,1.83,0.0,0.42,0.94,0.79,0.91
03-00,0.0,0.0,-1.43,-2.94,-0.59,-0.91,-1.03,-3.19
03-06,0.0,0.21,1.73,-2.15,0.54,1.41,2.69,-0.95
02-04,8.86,0.0,0.0,0.0,0.09,0.12,0.0,0.0
03-03,-0.21,0.71,-1.85,-2.94,0.14,1.41,1.1,-0.52
00-03,0.75,0.15,0.61,2.22,0.42,0.54,0.38,3.15
01-00,-0.3,-1.21,0.0,-2.94,-0.59,-0.52,-1.2,-0.88
03-99,0.0,1.23,0.61,2.22,1.69,0.43,0.64,0.8
03-09,-0.22,1.38,1.0,4.44,0.0,0.08,-0.04,-0.12
03-04,-0.03,0.77,1.01,3.73,-0.61,0.25,-0.53,0.33
03-08,0.07,-0.15,-2.86,-0.72,-0.91,-0.33,-0.44,-0.23
03-07,0.12,0.14,1.12,-0.72,-0.76,0.51,0.62,1.15
04-03,0.0,0.23,0.18,-2.15,-1.58,-0.42,-0.05,-0.02
00-02,0.5,0.62,0.0,0.0,0.0,0.75,0.51,1.87
04-05,0.0,0.27,-1.64,0.0,0.28,-0.47,-0.8,-0.33
01-99,0.0,0.46,0.61,0.0,0.0,0.75,0.76,1.0
04-08,0.0,0.0,0.0,2.22,0.45,0.57,0.2,-0.13
01-03,-0.03,-0.02,-0.71,0.0,-1.93,0.23,-0.39,0.07
04-99,0.12,0.31,1.22,0.0,0.85,0.54,0.13,0.2
04-07,0.0,-0.04,-0.21,2.22,0.42,0.11,0.13,0.0
04-06,0.0,0.0,0.0,0.0,1.53,-0.03,1.44,-0.01
04-01,0.0,0.42,0.59,-0.72,-0.45,0.2,0.53,-0.03
02-00,0.0,0.0,0.0,0.0,-2.35,-0.54,0.0,0.0
05-08,2.61,0.15,0.0,0.0,0.0,0.0,0.0,0.0
03-05,0.0,0.15,0.0,0.0,1.1,-0.27,-0.25,-0.67
05-00,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-04,-0.33,-0.48,-0.82,0.0,0.42,0.0,0.0,0.0
04-02,0.0,-0.02,-0.31,-0.72,0.26,-0.05,-0.09,0.31
04-09,1.37,0.29,0.0,0.0,0.0,0.0,0.0,0.07
03-02,0.12,0.33,-0.1,0.0,0.36,0.29,-0.25,0.21
04-04,0.0,0.11,-0.1,0.0,-1.18,0.0,0.0,0.07
02-03,-0.15,0.0,0.0,0.0,-0.66,-0.38,0.13,0.0
05-99,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
02-02,0.1,0.0,0.0,0.0,0.94,0.06,0.0,0.0
02-99,0.0,0.0,0.0,0.0,0.42,0.64,0.0,0.0
05-06,-0.87,0.15,0.0,0.0,0.0,0.0,0.0,0.0
05-03,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-01,0.0,0.0,0.0,0.0,-0.33,-0.18,-0.04,0.0
02-06,0.0,0.0,0.0,0.0,0.42,0.08,0.0,0.0
00-04,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.07
01-07,0.0,-0.02,-0.1,0.0,0.0,0.0,0.0,-0.04
02-05,0.0,0.0,0.0,0.0,-0.07,-0.07,0.0,0.0
00-01,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
05-09,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-06,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
