va_type,age_group,cause_code,cause_name,phy_count,exp1_count,phy_csmf_pct,exp1_csmf_pct,difference_pp,abs_difference_pp,rank_abs_difference_within_stratum
adult,15-24,01-04,TB/AIDS,39,35,22.941176470588236,20.588235294117645,-2.3529411764705883,2.3529411764705883,1
adult,15-24,02-00,Unspecifiable,4,0,2.3529411764705883,0.0,-2.3529411764705883,2.3529411764705883,2
adult,15-24,01-03,Hepatitis,4,1,2.3529411764705883,0.5882352941176471,-1.7647058823529411,1.7647058823529411,3
adult,15-24,03-08,Anaemia,3,0,1.7647058823529411,0.0,-1.7647058823529411,1.7647058823529411,4
adult,15-24,04-00,Unspecifiable,3,0,1.7647058823529411,0.0,-1.7647058823529411,1.7647058823529411,5
adult,15-24,04-03,Drowning/submersion,7,4,4.117647058823529,2.3529411764705883,-1.7647058823529411,1.7647058823529411,6
adult,15-24,03-07,Genito urinary disorders,2,0,1.1764705882352942,0.0,-1.1764705882352942,1.1764705882352942,7
adult,15-24,04-04,Exposure to smoke/fire/flames,2,0,1.1764705882352942,0.0,-1.1764705882352942,1.1764705882352942,8
adult,15-24,03-06,Neoplasm,7,9,4.117647058823529,5.294117647058823,1.1764705882352942,1.1764705882352942,9
adult,15-24,01-01,Acute febrile illness,22,36,12.941176470588237,21.176470588235293,8.235294117647058,8.235294117647058,10
adult,25-44,01-04,TB/AIDS,416,362,54.0962288686606,47.074122236671,-7.022106631989599,7.022106631989599,1
adult,25-44,04-05,Poisoning/exposure to noxious substance,21,12,2.7308192457737324,1.5604681404421328,-1.1703511053315996,1.1703511053315996,2
adult,25-44,03-00,Unspecifiable,7,0,0.9102730819245773,0.0,-0.9102730819245773,0.9102730819245773,3
adult,25-44,04-00,Unspecifiable,7,1,0.9102730819245773,0.13003901170351106,-0.7802340702210663,0.7802340702210663,4
adult,25-44,01-99,Other specific unlisted,0,6,0.0,0.7802340702210664,0.7802340702210664,0.7802340702210664,5
adult,25-44,02-99,Other specific unlisted,0,6,0.0,0.7802340702210664,0.7802340702210664,0.7802340702210664,6
adult,25-44,01-05,Diarrhoeal disease without fever,1,8,0.13003901170351106,1.0403120936280885,0.9102730819245773,0.9102730819245773,7
adult,25-44,03-01,Cardiovascular disorder,11,22,1.4304291287386215,2.860858257477243,1.4304291287386215,1.4304291287386215,8
adult,25-44,03-06,Neoplasm,23,35,2.990897269180754,4.551365409622886,1.5604681404421326,1.5604681404421326,9
adult,25-44,01-01,Acute febrile illness,63,96,8.192457737321195,12.483745123537062,4.291287386215865,4.291287386215865,10
adult,45-64,01-04,TB/AIDS,256,221,43.986254295532646,37.97250859106529,-6.013745704467355,6.013745704467355,1
adult,45-64,01-00,Unspecifiable,7,0,1.202749140893471,0.0,-1.202749140893471,1.202749140893471,2
adult,45-64,03-05,Endocrine disorders,17,11,2.9209621993127146,1.8900343642611683,-1.0309278350515465,1.0309278350515465,3
adult,45-64,03-00,Unspecifiable,6,0,1.0309278350515463,0.0,-1.0309278350515463,1.0309278350515463,4
adult,45-64,03-04,Central nervous system disorder,12,7,2.0618556701030926,1.202749140893471,-0.8591065292096219,0.8591065292096219,5
adult,45-64,04-06,Use of weapon,2,7,0.3436426116838488,1.202749140893471,0.859106529209622,0.859106529209622,6
adult,45-64,01-99,Other specific unlisted,0,6,0.0,1.0309278350515463,1.0309278350515463,1.0309278350515463,7
adult,45-64,03-01,Cardiovascular disorder,72,85,12.371134020618557,14.604810996563575,2.2336769759450177,2.2336769759450177,8
adult,45-64,03-06,Neoplasm,51,66,8.762886597938143,11.34020618556701,2.5773195876288666,2.5773195876288666,9
adult,45-64,01-01,Acute febrile illness,41,68,7.0446735395189,11.683848797250858,4.639175257731959,4.639175257731959,10
adult,65+,03-00,Unspecifiable,29,0,3.1868131868131866,0.0,-3.1868131868131866,3.1868131868131866,1
adult,65+,03-05,Endocrine disorders,42,34,4.615384615384616,3.7362637362637363,-0.8791208791208794,0.8791208791208794,2
adult,65+,01-00,Unspecifiable,8,0,0.8791208791208791,0.0,-0.8791208791208791,0.8791208791208791,3
adult,65+,03-01,Cardiovascular disorder,359,353,39.45054945054945,38.791208791208796,-0.659340659340657,0.659340659340657,4
adult,65+,03-02,Respiratory disorder,20,27,2.197802197802198,2.9670329670329667,0.7692307692307689,0.7692307692307689,5
adult,65+,01-05,Diarrhoeal disease without fever,10,17,1.098901098901099,1.8681318681318682,0.769230769230769,0.769230769230769,6
adult,65+,00-02,Specific information missing on VAQ,0,7,0.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,7
adult,65+,03-07,Genito urinary disorders,20,29,2.197802197802198,3.1868131868131866,0.9890109890109886,0.9890109890109886,8
adult,65+,00-03,No significant pathology that would explain the death,0,9,0.0,0.9890109890109889,0.9890109890109889,0.9890109890109889,9
adult,65+,01-99,Other specific unlisted,0,10,0.0,1.098901098901099,1.098901098901099,1.098901098901099,10
child,0,01-04,TB/AIDS,20,13,12.738853503184714,8.280254777070063,-4.4585987261146505,4.4585987261146505,1
child,0,04-00,Unspecifiable,4,0,2.547770700636943,0.0,-2.547770700636943,2.547770700636943,2
child,0,05-00,Unspecifiable,4,0,2.547770700636943,0.0,-2.547770700636943,2.547770700636943,3
child,0,05-04,Congenital abnormality,6,3,3.821656050955414,1.910828025477707,-1.910828025477707,1.910828025477707,4
child,0,01-00,Unspecifiable,2,0,1.2738853503184715,0.0,-1.2738853503184715,1.2738853503184715,5
child,0,04-09,Choking,0,2,0.0,1.2738853503184715,1.2738853503184715,1.2738853503184715,6
child,0,05-99,Other specific unlisted,0,2,0.0,1.2738853503184715,1.2738853503184715,1.2738853503184715,7
child,0,05-03,Prematurity/low birth weight,0,4,0.0,2.547770700636943,2.547770700636943,2.547770700636943,8
child,0,01-01,Acute febrile illness,95,100,60.509554140127385,63.69426751592356,3.1847133757961776,3.1847133757961776,9
child,0,01-05,Diarrhoeal disease without fever,5,11,3.1847133757961785,7.006369426751593,3.821656050955414,3.821656050955414,10
child,1-4,01-04,TB/AIDS,90,49,15.570934256055363,8.477508650519031,-7.093425605536333,7.093425605536333,1
child,1-4,01-01,Acute febrile illness,336,322,58.13148788927336,55.70934256055363,-2.422145328719727,2.422145328719727,2
child,1-4,01-00,Unspecifiable,7,0,1.2110726643598615,0.0,-1.2110726643598615,1.2110726643598615,3
child,1-4,04-00,Unspecifiable,7,0,1.2110726643598615,0.0,-1.2110726643598615,1.2110726643598615,4
child,1-4,05-04,Congenital abnormality,9,6,1.5570934256055362,1.0380622837370241,-0.5190311418685121,0.5190311418685121,5
child,1-4,01-99,Other specific unlisted,0,3,0.0,0.5190311418685121,0.5190311418685121,0.5190311418685121,6
child,1-4,03-01,Cardiovascular disorder,2,6,0.34602076124567477,1.0380622837370241,0.6920415224913494,0.6920415224913494,7
child,1-4,03-99,Other specific unlisted,0,4,0.0,0.6920415224913495,0.6920415224913495,0.6920415224913495,8
child,1-4,03-09,Nutritional disorder,32,45,5.536332179930796,7.7854671280276815,2.2491349480968856,2.2491349480968856,9
child,1-4,01-05,Diarrhoeal disease without fever,31,64,5.3633217993079585,11.072664359861593,5.709342560553633,5.709342560553633,10
