cause_code,level2_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-01,Acute febrile illness,1233,23.06,56.31,44.51,44.44,16.95,16.7,14.65,18.78
01-04,TB/AIDS,872,2.26,8.15,9.76,11.11,17.8,42.56,33.12,5.57
03-01,Cardiovascular disorder,665,0.38,0.46,0.0,4.44,3.81,2.8,13.89,34.41
03-03,Gastro intestinal disorder,275,0.25,0.92,2.44,2.22,5.93,8.62,7.64,7.24
03-06,Neoplasm,232,0.13,0.77,3.05,4.44,5.08,3.12,8.03,7.71
01-05,Diarrhoeal disease without fever,154,2.13,12.15,0.61,0.0,0.0,0.97,2.29,2.01
00-02,Specific information missing on VAQ,148,2.51,1.85,1.83,4.44,1.27,2.59,2.04,4.56
03-05,Endocrine disorders,114,0.13,0.0,0.0,2.22,2.12,1.83,3.18,4.36
05-00,Unspecifiable,111,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-04,Central nervous system disorder,105,0.13,1.54,3.66,2.22,8.05,3.12,1.78,1.68
05-06,Neonatal sepsis,103,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-02,Respiratory disorder,89,0.13,1.38,1.83,0.0,2.12,0.65,2.17,3.22
05-05,Birth injury/asphyxia,80,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-99,Other specific unlisted,77,1.0,1.38,3.66,2.22,2.54,2.37,1.53,0.87
03-08,Anaemia,75,0.63,4.92,3.05,0.0,2.12,0.32,1.02,1.14
03-07,Genito urinary disorders,73,0.0,0.31,2.44,4.44,1.27,0.54,1.91,2.82
04-01,Transport,68,0.0,0.77,4.27,2.22,5.51,2.48,1.66,0.4
05-03,Prematurity/low birth weight,68,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-09,Nutritional disorder,58,1.13,4.0,6.1,2.22,0.85,0.11,0.0,0.6
05-08,Sudden infant death syndrome,57,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-04,Obstructed labour,41,5.01,0.0,0.0,0.0,0.0,0.11,0.0,0.0
04-06,Use of weapon,40,0.0,0.0,0.0,0.0,1.27,1.51,1.66,0.67
04-09,Choking,39,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-05,Poisoning/exposure to noxious substance,38,0.25,0.31,1.22,0.0,2.54,1.62,1.15,0.13
04-03,Drowning/submersion,38,0.0,1.38,5.49,4.44,2.97,0.75,0.38,0.07
04-08,Hanging,34,0.13,0.0,0.0,2.22,5.51,1.4,0.38,0.2
00-03,No significant pathology that would explain the death,32,0.13,0.15,0.61,0.0,0.0,0.11,0.0,1.88
03-99,Other specific unlisted,24,0.0,1.23,0.61,0.0,1.27,0.32,0.64,0.27
04-02,Fall,21,0.13,0.0,1.22,4.44,0.0,0.43,0.0,0.8
04-00,Unspecifiable,21,0.0,0.31,1.22,0.0,1.27,0.86,0.38,0.2
02-99,Other specific unlisted,18,0.13,0.0,0.0,0.0,2.97,1.08,0.0,0.0
02-00,Unspecifiable,12,0.0,0.0,0.0,0.0,1.69,0.75,0.13,0.0
05-99,Other specific unlisted,10,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-04,Congenital abnormality,10,0.88,0.31,0.61,0.0,0.0,0.0,0.0,0.0
02-03,Ante postpartum haemorrhage,10,0.0,0.0,0.0,0.0,0.42,0.97,0.0,0.0
02-05,Puerperal sepsis,9,0.0,0.0,0.0,0.0,1.69,0.43,0.0,0.07
04-07,Contact with venomous animals and plants,8,0.13,0.15,1.22,2.22,0.42,0.0,0.25,0.0
01-03,Hepatitis,6,0.0,0.15,0.0,0.0,1.69,0.11,0.0,0.0
00-04,"Multiple significant pathology, single COD can't be isolated",5,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.13
04-04,Exposure to smoke/fire/flames,4,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0
00-01,No information (VAQ not available),4,0.0,0.15,0.0,0.0,0.0,0.22,0.0,0.07
02-02,Eclampsia,4,0.25,0.0,0.0,0.0,0.42,0.11,0.0,0.0
01-07,Rabies,2,0.0,0.15,0.61,0.0,0.0,0.0,0.0,0.0
01-99,Other specific unlisted,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
02-06,Anaemia in pregnancy,2,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0
01-00,Unspecifiable,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
01-06,Tetanus (exc. neonatal tetanus),1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
02-01,Abortion,1,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0
03-00,Unspecifiable,1,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
05-02,Stillbirth,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-09,Neonatal tetanus,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
