cause_code,level2_name,total,0
05-05,Birth injury/asphyxia,163,163
05-03,Prematurity/low birth weight,137,137
05-06,Neonatal sepsis,89,89
02-04,Obstructed labour,33,33
01-01,Acute febrile illness,24,24
05-04,Congenital abnormality,16,16
05-99,Other specific unlisted,8,8
05-08,Sudden infant death syndrome,5,5
05-00,Unspecifiable,3,3
03-09,Nutritional disorder,3,3
00-02,Specific information missing on VAQ,3,3
04-99,Other specific unlisted,2,2
02-05,Puerperal sepsis,2,2
01-05,Diarrhoeal disease without fever,1,1
02-03,Ante postpartum haemorrhage,1,1
02-02,Eclampsia,1,1
01-99,Other specific unlisted,1,1
03-07,Genito urinary disorders,1,1
04-09,Choking,1,1
04-06,Use of weapon,1,1
03-03,Gastro intestinal disorder,1,1
05-09,Neonatal tetanus,1,1
