cause_code,level2_name,total,0
05-05,Birth injury/asphyxia,163,32.8
05-03,Prematurity/low birth weight,137,27.57
05-06,Neonatal sepsis,89,17.91
02-04,Obstructed labour,33,6.64
01-01,Acute febrile illness,24,4.83
05-04,Congenital abnormality,16,3.22
05-99,Other specific unlisted,8,1.61
05-08,Sudden infant death syndrome,5,1.01
05-00,Unspecifiable,3,0.6
03-09,Nutritional disorder,3,0.6
00-02,Specific information missing on VAQ,3,0.6
04-99,Other specific unlisted,2,0.4
02-05,Puerperal sepsis,2,0.4
01-05,Diarrhoeal disease without fever,1,0.2
02-03,Ante postpartum haemorrhage,1,0.2
02-02,Eclampsia,1,0.2
01-99,Other specific unlisted,1,0.2
03-07,Genito urinary disorders,1,0.2
04-09,Choking,1,0.2
04-06,Use of weapon,1,0.2
03-03,Gastro intestinal disorder,1,0.2
05-09,Neonatal tetanus,1,0.2
