cause_code,level3_name,total,0,1-4,5-9,10-14,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,440,3,25,6,3,21,226,140,16
01-01-01,Communicable disease: Acute febrile illness: Malaria,391,22,171,47,9,17,42,34,49
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,241,0,0,0,0,0,5,44,192
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,216,70,52,8,2,0,18,15,51
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,193,0,2,2,0,3,15,27,144
05-05-00,Causes specific to infancy: Birth injury/asphyxia,167,163,1,2,0,0,1,0,0
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,165,1,14,4,1,7,66,42,30
05-03-00,Causes specific to infancy: Prematurity/low birth weight,145,145,0,0,0,0,0,0,0
01-05-00,Communicable disease: Diarrhoeal disease without fever,138,16,68,2,0,4,13,12,23
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,125,0,1,2,1,9,40,30,42
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,101,1,1,0,0,5,10,18,66
05-06-00,Causes specific to infancy: Neonatal sepsis,93,93,0,0,0,0,0,0,0
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,87,2,7,1,0,4,18,22,33
01-01-02,Communicable disease: Acute febrile illness: Menigitis,87,5,17,5,3,8,35,11,3
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,87,0,6,2,1,5,16,25,32
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,86,7,32,5,0,4,13,6,19
00-02-00,Unspecifiable: Specific information missing on VAQ,83,7,5,1,1,4,10,9,46
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,81,0,0,0,0,2,13,19,47
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,76,9,42,9,2,0,1,1,12
04-01-00,External cause: Transport,75,0,3,6,1,13,24,18,10
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,73,4,37,3,1,1,6,11,10
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,73,0,0,0,0,1,11,25,36
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,63,0,0,0,0,0,6,16,41
03-02-02,Non communicable disease: Respiratory disorder: Asthma,57,0,7,1,0,5,8,11,25
03-08-00,Non communicable disease: Anaemia: Unspecifiable,55,2,16,2,1,4,7,6,17
04-03-00,External cause: Drowning/submersion,54,0,13,10,3,7,14,4,3
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,52,1,5,1,0,13,23,5,4
03-03-01,Non communicable disease: Gastro intestinal disorder: Peptic ulcer disease,51,0,0,1,0,1,19,9,21
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,51,1,3,0,1,1,4,9,32
02-04-00,Direct maternal cause: Obstructed labour,50,33,0,0,0,4,13,0,0
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,50,3,9,2,0,5,9,9,13
03-01-99,Non communicable disease: Cardiovascular disorder: Other specific unlisted,48,0,4,1,0,3,7,8,25
03-99-00,Non communicable disease: Other specific unlisted,47,1,6,0,0,4,13,7,16
04-05-00,External cause: Poisoning/exposure to noxious substance,44,0,3,2,1,6,16,10,6
04-02-00,External cause: Fall,35,0,1,3,1,1,2,3,24
04-08-00,External cause: Hanging,34,0,0,0,1,10,15,5,3
01-01-06,Communicable disease: Acute febrile illness: Sepsis,33,7,4,1,1,1,7,1,11
03-06-07,Non communicable disease: Neoplasm: Oesophagus,32,0,0,0,0,0,3,8,21
05-04-00,Causes specific to infancy: Congenital abnormality,32,22,9,1,0,0,0,0,0
03-04-99,Non communicable disease: Central nervous system disorder: Other specific unlisted,32,0,8,1,1,2,2,3,15
04-99-00,External cause: Other specific unlisted,29,3,2,1,0,2,9,7,5
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,29,0,0,0,1,2,3,9,14
01-04-03,Communicable disease: TB/AIDS: Extrapulmonary TB,23,0,1,1,0,0,3,11,7
04-06-00,External cause: Use of weapon,23,1,0,0,0,2,8,7,5
03-07-99,Non communicable disease: Genito urinary disorders: Other specific unlisted,22,1,0,0,1,0,1,5,14
00-03-00,Unspecifiable: No significant pathology that would explain the death,22,1,0,0,0,0,1,1,19
03-03-99,Non communicable disease: Gastro intestinal disorder: Other specific unlisted,18,0,0,0,0,1,6,3,8
01-99-00,Communicable disease: Other specific unlisted,18,3,0,2,0,1,10,1,1
03-04-01,Non communicable disease: Central nervous system disorder: Mental/behavioural disorder,17,0,0,0,0,1,4,4,8
03-06-01,Non communicable disease: Neoplasm: Breast,15,0,0,0,0,0,3,4,8
02-03-00,Direct maternal cause: Ante postpartum haemorrhage,15,1,0,0,0,5,7,2,0
01-03-00,Communicable disease: Hepatitis,14,2,2,0,0,2,3,4,1
03-06-03,Non communicable disease: Neoplasm: Liver,14,0,0,0,0,0,6,2,6
03-02-01,Non communicable disease: Respiratory disorder: Chronic obstructive pulmonary disease,14,0,0,1,0,0,1,2,10
05-08-00,Causes specific to infancy: Sudden infant death syndrome,13,12,0,0,0,0,0,0,1
03-03-00,Non communicable disease: Gastro intestinal disorder: Unspecifiable,12,1,0,0,0,1,2,2,6
02-99-00,Direct maternal cause: Other specific unlisted,10,0,0,0,0,2,7,1,0
05-99-00,Causes specific to infancy: Other specific unlisted,10,10,0,0,0,0,0,0,0
03-02-00,Non communicable disease: Respiratory disorder: Unspecifiable,9,0,1,1,0,0,4,2,1
03-06-05,Non communicable disease: Neoplasm: Lung,9,0,0,0,0,0,2,2,5
02-05-00,Direct maternal cause: Puerperal sepsis,9,2,0,0,0,2,5,0,0
04-09-00,External cause: Choking,8,3,3,0,0,0,0,1,1
02-02-00,Direct maternal cause: Eclampsia,7,1,0,0,0,3,3,0,0
03-06-06,Non communicable disease: Neoplasm: Oral,7,0,0,0,1,1,0,0,5
04-07-00,External cause: Contact with venomous animals and plants,7,0,1,2,1,0,1,2,0
02-01-00,Direct maternal cause: Abortion,7,0,0,0,0,2,4,1,0
03-01-00,Non communicable disease: Cardiovascular disorder: Unspecifiable,7,0,0,0,0,0,1,1,5
03-06-00,Non communicable disease: Neoplasm: Unspecifiable,6,0,1,0,0,1,0,1,3
01-01-03,Communicable disease: Acute febrile illness: Measles,5,0,3,2,0,0,0,0,0
03-00-00,Non communicable disease: Unspecifiable,5,0,0,0,0,0,1,3,1
01-04-00,Communicable disease: TB/AIDS: Unspecifiable,4,0,0,0,0,0,3,0,1
04-04-00,External cause: Exposure to smoke/fire/flames,4,0,2,1,0,0,0,0,1
03-04-00,Non communicable disease: Central nervous system disorder: Unspecifiable,4,0,0,0,0,0,2,1,1
03-02-99,Non communicable disease: Respiratory disorder: Other specific unlisted,4,1,1,0,0,0,1,1,0
01-07-00,Communicable disease: Rabies,3,0,1,0,0,0,0,0,2
03-07-00,Non communicable disease: Genito urinary disorders: Unspecifiable,3,0,0,0,0,1,0,0,2
05-00-00,Causes specific to infancy: Unspecifiable,3,3,0,0,0,0,0,0,0
02-06-00,Direct maternal cause: Anaemia in pregnancy,3,0,0,0,0,1,2,0,0
00-04-00,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",2,1,0,0,0,0,0,0,1
03-05-99,Non communicable disease: Endocrine disorders: Other specific unlisted,2,0,1,0,0,0,0,0,1
03-08-99,Non communicable disease: Anaemia: Other specific unlisted,2,0,1,0,0,0,1,0,0
02-00-00,Direct maternal cause: Unspecifiable,1,0,0,0,0,1,0,0,0
00-01-00,Unspecifiable: No information (VAQ not available),1,0,0,0,0,0,0,0,1
03-08-01,Non communicable disease: Anaemia: Caused by chronic communicable disease,1,0,1,0,0,0,0,0,0
03-09-00,Non communicable disease: Nutritional disorder: Unspecifiable,1,0,1,0,0,0,0,0,0
05-02-00,Causes specific to infancy: Stillbirth,1,0,0,0,0,0,1,0,0
05-09-00,Causes specific to infancy: Neonatal tetanus,1,1,0,0,0,0,0,0,0
