cause_code,15-24,25-44,45-64,65+
01-04,-9.35,-19.29,-16.54,-1.61
01-01,4.54,7.0,5.34,-1.57
03-01,1.81,3.71,3.85,-2.55
00-02,1.94,1.17,1.28,3.59
03-06,0.73,2.15,2.05,-0.85
03-99,1.94,1.52,1.0,1.25
03-00,-0.59,-0.79,-0.6,-3.11
01-05,1.94,1.39,0.85,0.69
03-03,0.71,1.35,2.35,0.23
04-00,-1.76,-0.91,-0.69,-0.11
04-99,0.97,1.05,1.0,0.39
01-00,-0.59,-0.52,-1.2,-0.88
03-07,-0.21,0.45,0.96,1.54
04-01,-1.34,-0.97,0.67,0.01
04-05,-0.62,-0.86,-1.16,-0.19
02-00,-1.86,-0.65,0.0,0.0
03-02,0.67,0.86,-0.13,0.61
04-08,1.91,0.06,0.02,-0.1
03-04,-0.47,0.76,-0.21,0.64
02-99,0.97,0.82,0.14,0.0
01-99,0.49,1.17,0.14,0.08
00-03,0.0,0.12,0.14,1.48
01-03,-1.38,-0.17,0.05,0.08
03-05,0.38,-0.04,-0.22,-0.88
04-06,0.38,0.15,0.66,-0.16
04-04,-1.18,0.0,0.0,0.08
02-04,0.76,0.35,0.0,0.0
02-03,0.08,-0.74,0.28,0.0
03-08,0.18,0.28,-0.35,0.23
04-03,-0.72,-0.18,-0.12,0.01
04-02,-0.1,-0.03,0.09,0.77
02-05,-0.79,0.19,0.0,0.0
02-06,0.49,0.1,0.0,0.0
04-07,0.0,0.12,0.28,0.0
02-02,0.28,0.09,0.0,0.0
02-01,-0.21,0.08,-0.03,0.0
04-09,0.0,0.0,0.14,0.08
05-05,0.0,0.12,0.0,0.0
05-02,0.0,0.12,0.0,0.0
03-09,0.0,-0.01,-0.03,-0.05
00-01,0.0,0.0,0.0,0.08
00-04,0.0,0.0,0.0,0.08
05-08,0.0,0.0,0.0,0.08
01-07,0.0,0.0,0.0,0.05
