cause_code,0,1-4,5-9,10-14,15,16-49,50-64,65+
01-04,-2.44,-8.84,-8.68,-9.78,-1.84,-18.79,-13.29,-1.61
01-01,0.87,-3.42,9.27,6.37,4.41,6.81,4.22,-1.57
01-05,1.65,6.09,1.41,0.0,5.88,1.35,0.78,0.69
03-03,-0.01,0.83,-1.47,-0.75,-6.62,1.93,1.11,0.23
03-01,0.15,0.83,0.68,1.03,0.0,3.6,3.56,-2.55
03-99,0.15,1.01,0.0,1.41,5.88,1.52,0.8,1.25
00-02,1.05,0.84,0.7,2.82,0.0,1.36,1.2,3.59
04-00,-0.76,-1.21,-0.71,-5.36,0.0,-0.91,-0.98,-0.11
01-03,0.15,0.17,-0.71,-2.16,-6.25,-0.25,0.11,0.08
03-00,0.0,0.0,-1.43,-3.57,0.0,-0.74,-0.62,-3.11
03-04,0.0,0.81,-0.02,1.31,5.51,0.27,0.09,0.64
03-06,0.0,0.31,0.7,-1.89,-0.37,1.59,2.75,-0.85
05-05,-6.8,0.17,1.41,0.0,0.0,0.08,0.0,0.0
03-07,0.3,0.34,-0.71,3.84,0.0,0.5,0.82,1.54
04-99,0.45,0.34,0.7,2.82,0.0,1.04,1.0,0.39
04-05,0.0,0.16,-1.45,2.82,0.0,-0.85,-1.2,-0.19
04-04,0.0,-0.01,-0.01,0.0,-6.25,-0.09,0.0,0.08
01-00,-0.3,-1.21,0.0,-1.79,0.0,-0.64,-1.22,-0.88
02-04,4.96,0.0,0.0,0.0,0.0,0.36,0.0,0.0
04-03,0.0,0.11,-0.1,-3.67,0.0,-0.25,-0.09,0.01
03-09,0.13,1.7,0.63,1.03,0.0,-0.1,0.2,-0.05
03-02,0.15,0.31,1.4,0.0,-0.37,0.7,-0.16,0.61
04-08,0.0,0.0,0.0,2.82,0.0,0.35,0.07,-0.1
00-03,0.15,0.0,0.0,1.41,0.0,0.08,0.2,1.48
03-08,0.0,0.26,-1.45,-0.38,0.0,0.3,-0.66,0.23
05-00,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-99,0.45,0.0,1.41,0.0,0.0,0.88,0.2,0.08
03-05,0.0,0.17,0.0,-0.38,0.0,0.23,-0.85,-0.88
04-02,0.0,0.0,-0.03,1.03,0.0,0.05,-0.09,0.77
04-07,0.0,-0.18,-0.02,1.41,0.0,0.16,0.2,0.0
04-01,0.0,0.16,-0.06,-0.38,0.0,-0.67,0.45,0.01
05-99,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-04,0.73,-0.04,-0.73,0.0,0.0,0.0,0.0,0.0
05-06,-1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-06,0.15,0.0,0.0,0.0,0.0,0.23,0.76,-0.16
05-08,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08
04-09,0.45,0.34,0.0,0.0,0.0,0.0,0.2,0.08
02-99,0.0,0.0,0.0,0.0,0.0,0.72,0.2,0.0
01-07,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.05
02-00,0.0,0.0,0.0,0.0,0.0,-0.74,0.0,0.0
02-03,0.0,0.0,0.0,0.0,0.0,-0.42,0.2,0.0
02-05,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.0
05-03,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-04,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.08
05-09,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-06,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
02-02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
00-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
05-02,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
02-01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
