cause_code,level3_name,total,15-24,25-44,45-64,65+
01-04-02,Communicable disease: TB/AIDS: AIDS,687,14.41,40.04,29.55,3.28
03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,221,0.85,0.43,4.08,12.25
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,204,2.54,3.34,5.1,8.5
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,173,3.81,4.63,4.2,5.89
03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,163,1.27,0.54,3.06,8.77
00-02-00,Unspecifiable: Specific information missing on VAQ,140,1.69,3.23,3.06,5.49
01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,135,3.39,4.84,5.1,2.81
03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,117,2.12,4.31,3.95,2.74
03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,100,1.27,0.65,1.66,5.22
03-01-03,Non communicable disease: Cardiovascular disorder: Ischaemic heart disease,93,0.0,0.65,2.29,4.62
01-01-01,Communicable disease: Acute febrile illness: Malaria,92,7.2,1.94,1.78,2.88
03-05-01,Non communicable disease: Endocrine disorders: Diabetes,91,1.69,1.29,2.68,3.61
01-01-02,Communicable disease: Acute febrile illness: Menigitis,70,4.66,3.23,1.78,1.0
03-06-99,Non communicable disease: Neoplasm: Other specific unlisted,69,2.97,0.65,2.29,2.54
03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,66,1.27,0.75,1.91,2.74
03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,61,7.2,2.8,1.4,0.47
01-01-05,Communicable disease: Acute febrile illness: Diarrhoea with fever,56,0.85,1.4,1.27,2.07
03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,55,1.27,1.29,1.27,2.01
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,55,1.27,1.4,1.66,1.74
04-01-00,External cause: Transport,52,5.51,2.48,1.27,0.4
01-05-00,Communicable disease: Diarrhoeal disease without fever,47,0.0,0.75,1.91,1.67
03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,45,0.0,0.75,2.55,1.2
04-08-00,External cause: Hanging,39,5.08,1.94,0.64,0.27
