cause_code,0,1-4,5-9,10-14
01-04-02,-2.27,-6.29,-9.58,-11.7
01-01-01,4.63,-2.57,5.06,11.18
01-01-00,-6.96,-6.9,-5.39,0.07
01-01-04,6.88,7.02,2.27,0.79
00-02-00,6.42,1.85,3.07,4.44
04-00-00,-2.55,-0.44,1.13,-5.88
04-03-00,0.0,-1.16,-1.62,-6.6
04-99-00,0.53,1.23,2.45,4.44
03-04-02,0.0,0.77,2.45,4.44
03-06-00,0.0,-0.56,-0.71,-5.88
01-05-00,1.63,5.41,0.0,0.0
03-04-00,-0.64,-1.38,-1.43,-2.94
01-01-06,2.03,1.52,0.61,2.22
01-01-05,-0.92,-2.1,-0.71,2.22
03-06-99,0.0,0.46,3.07,2.22
03-03-00,-0.64,0.0,-2.14,-2.94
01-04-01,0.43,1.37,3.07,-0.72
01-00-00,-1.27,-1.21,0.0,-2.94
03-08-00,0.96,1.95,1.64,-0.72
05-04-00,-2.75,-1.25,-0.82,0.0
03-00-00,0.0,0.15,-1.43,-2.94
03-09-01,-0.61,-0.16,1.04,2.22
01-01-02,-0.95,1.04,-0.41,-1.44
03-07-01,0.0,0.46,2.36,-0.72
01-04-00,-1.27,-1.73,0.0,0.0
04-07-00,0.53,-0.04,-0.2,2.22
03-03-02,0.0,0.15,0.61,2.22
03-08-01,-0.64,-0.87,-1.43,0.0
03-01-02,0.53,0.0,0.0,2.22
03-01-99,0.0,0.31,0.0,2.22
04-05-00,0.0,-0.2,-2.25,0.0
05-06-00,-2.11,0.31,0.0,0.0
01-01-99,0.53,0.0,1.84,0.0
03-05-01,0.0,0.0,0.0,2.22
04-08-00,0.0,0.0,0.0,2.22
05-08-00,-1.91,0.31,0.0,0.0
01-01-03,0.0,0.62,1.23,0.0
04-02-00,0.0,-0.17,-0.91,-0.72
05-00-00,-1.48,0.31,0.0,0.0
03-01-00,0.0,-0.35,-1.43,0.0
03-02-02,0.53,-0.58,0.52,0.0
01-03-00,-0.64,-0.17,-0.71,0.0
00-01-00,0.53,0.31,0.61,0.0
03-99-00,0.0,0.77,0.61,0.0
04-01-00,0.0,0.42,0.0,-0.72
03-03-03,0.43,0.25,-0.3,0.0
04-04-00,0.0,0.11,-0.71,0.0
01-07-00,0.0,-0.02,-0.71,0.0
03-06-06,0.0,0.0,0.0,-0.72
01-04-03,0.0,0.0,-0.71,0.0
04-09-00,0.53,-0.17,0.0,0.0
00-03-00,0.53,0.15,0.0,0.0
03-04-99,0.0,0.62,0.0,0.0
03-08-99,0.0,0.46,0.0,0.0
03-02-00,0.0,-0.17,0.0,0.0
03-07-00,0.0,-0.17,0.0,0.0
03-02-01,0.0,0.15,0.0,0.0
03-03-99,0.0,0.15,0.0,0.0
05-05-00,-0.11,0.0,0.0,0.0
