"relative_path","size_bytes","last_write_time"
".gitignore","183","18/08/2026 07:39:37"
"agreement\charts\figure_agreement_metrics_heatmap_level2.svg","18384","15/07/2026 10:29:00"
"agreement\charts\figure_exp1_vs_phy_confusion_bubble_underlying_level2.svg","20685","15/07/2026 10:29:00"
"agreement\charts\figure_exp2_vs_phy_confusion_bubble_underlying_level2.svg","21961","15/07/2026 10:29:00"
"agreement\charts\figure_exp3_vs_phy_confusion_bubble_underlying_level2.svg","12766","15/07/2026 10:29:00"
"agreement\charts\figure_exp4_vs_phy_confusion_bubble_underlying_level2.svg","14195","15/07/2026 10:29:00"
"agreement\charts\figure_flexible_any_code_agreement_by_level_adult.svg","5560","08/08/2026 05:03:59"
"agreement\charts\figure_flexible_any_code_agreement_by_level_child.svg","5704","08/08/2026 05:03:59"
"agreement\charts\figure_flexible_any_code_agreement_by_level_exp1_overall.svg","3609","12/07/2026 08:21:58"
"agreement\charts\figure_flexible_any_code_agreement_by_level_exp2_overall.svg","3600","12/07/2026 08:21:58"
"agreement\charts\figure_flexible_any_code_agreement_by_level_exp3_overall.svg","3603","12/07/2026 08:21:58"
"agreement\charts\figure_flexible_any_code_agreement_by_level_exp4_overall.svg","3609","12/07/2026 08:21:58"
"agreement\charts\figure_flexible_any_code_agreement_by_level_infant.svg","5859","08/08/2026 05:03:59"
"agreement\charts\figure_flexible_any_code_agreement_by_level_overall.svg","5564","08/08/2026 05:03:59"
"agreement\code\analysis_llm_phy_agreement.py","45141","10/07/2026 13:29:57"
"agreement\code\calculate_ci_and_tests.py","10099","10/07/2026 16:03:57"
"agreement\code\create_comparison_visualizations.py","14385","15/07/2026 10:24:39"
"agreement\code\create_flexible_agreement_line_charts.py","8133","12/07/2026 08:21:03"
"agreement\excel\agreement_report.md","17895","10/07/2026 13:30:43"
"agreement\excel\agreement_stratified.csv","12215","10/07/2026 13:30:43"
"agreement\excel\agreement_summary.csv","3157","10/07/2026 13:30:43"
"agreement\excel\ci_bootstrap_key_metrics_1000resamples.csv","4697","10/07/2026 16:10:57"
"agreement\excel\confusion_pairs_by_level.csv","1338729","10/07/2026 13:30:43"
"agreement\excel\flexible_any_type_false_positive_false_negative_frequency_by_level.csv","283997","10/07/2026 13:30:43"
"agreement\excel\flexible_any_type_overlap_metrics_by_level.csv","6361","10/07/2026 09:13:35"
"agreement\excel\metrics_kappa_precision_recall_f1_by_level.csv","23470","10/07/2026 09:13:35"
"agreement\excel\per_class_metrics_by_level.csv","435717","10/07/2026 13:30:43"
"agreement\excel\statistical_tests_paired_comparisons_1000resamples.csv","9336","10/07/2026 16:10:57"
"agreement\excel\summary_accuracy_related_measures_all_experiments.csv","1126","12/07/2026 08:53:49"
"agreement\excel\underlying_agreement_all_experiments_by_level.csv","2316","13/07/2026 05:33:14"
"csmf\charts\figure_csmf_accuracy_by_va_type_age_level1.svg","11767","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_age_level2.svg","11801","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_age_level3.svg","11821","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_age_sex_level1.svg","21564","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_age_sex_level2.svg","21625","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_age_sex_level3.svg","21659","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_sex_level1.svg","7495","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_sex_level2.svg","7507","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_by_va_type_sex_level3.svg","7524","12/07/2026 10:13:02"
"csmf\charts\figure_csmf_accuracy_dot_plot.svg","18576","15/07/2026 10:29:00"
"csmf\charts\figure_level2_csmf_observed_vs_mc_physician_prior.svg","7924","07/08/2026 07:43:02"
"csmf\charts\figure_level2_pccc_observed_accuracy_vs_chance_baseline.svg","13967","07/08/2026 08:25:32"
"csmf\charts\figure_monte_carlo_csmf_level1_overall_nulls.svg","6938","12/07/2026 11:56:53"
"csmf\charts\figure_monte_carlo_csmf_level1_physician_prior.svg","11989","12/07/2026 11:56:53"
"csmf\charts\figure_monte_carlo_csmf_level2_overall_nulls.svg","6948","12/07/2026 11:56:53"
"csmf\charts\figure_monte_carlo_csmf_level2_physician_prior.svg","12161","12/07/2026 11:56:53"
"csmf\charts\figure_monte_carlo_csmf_level3_overall_nulls.svg","6946","12/07/2026 11:56:53"
"csmf\charts\figure_monte_carlo_csmf_level3_physician_prior.svg","12165","12/07/2026 11:56:53"
"csmf\charts\figure_pccc_underlying_panel_by_level_vatype.svg","13967","07/08/2026 08:25:32"
"csmf\charts\figure_pccc_underlying_panel_by_vatype_level.svg","15846","07/08/2026 08:53:45"
"csmf\charts\figure_pccc_underlying_panel_vatype_xlevel.svg","15846","07/08/2026 08:53:45"
"csmf\charts\figure_underlying_pccc_by_age_level_experiment.svg","23854","14/07/2026 07:12:47"
"csmf\charts\figure_underlying_pccc_by_level_vatype.svg","17907","14/07/2026 07:18:08"
"csmf\code\calculate_csmf_accuracy.py","12047","12/07/2026 10:12:48"
"csmf\code\calculate_monte_carlo_csmf_baselines.py","6383","12/07/2026 10:51:26"
"csmf\code\create_monte_carlo_csmf_charts.py","8262","12/07/2026 11:56:22"
"csmf\code\create_stratified_csmf_charts.py","5134","11/07/2026 12:17:50"
"csmf\excel\csmf_accuracy_summary_underlying_by_va_type_age_sex.csv","24373","12/07/2026 10:13:51"
"csmf\excel\csmf_accuracy_summary_underlying_by_va_type_age.csv","9109","10/08/2026 09:01:17"
"csmf\excel\csmf_accuracy_summary_underlying_by_va_type_sex.csv","7762","12/07/2026 10:13:49"
"csmf\excel\csmf_accuracy_summary_underlying_by_va_type.csv","4780","12/07/2026 10:13:46"
"csmf\excel\csmf_accuracy_summary_underlying.csv","4749","12/07/2026 10:13:51"
"csmf\excel\monte_carlo_csmf_accuracy_baselines_1000sim.csv","31035","12/07/2026 11:14:30"
"csmf\excel\monte_carlo_csmf_all_levels_discussion_table_1000sim.csv","15659","12/07/2026 11:51:58"
"csmf\excel\monte_carlo_csmf_level2_discussion_table_1000sim.csv","5147","12/07/2026 11:25:30"
"csmf\excel\pccc_underlying_full_numeric_table_overall_vatype.csv","4714","07/08/2026 07:58:19"
"csmf\excel\underlying_pccc_single_prediction_by_level.csv","1098","14/07/2026 06:25:45"
"csmf\excel\underlying_pccc_single_prediction_by_vatype_age.csv","9350","14/07/2026 07:06:11"
"csmf\excel\underlying_pccc_single_prediction_by_vatype.csv","2631","14/07/2026 07:18:08"
"EXP1\charts\exp1_underlying_level1_distribution_stacked_bar_adults.svg","7347","11/07/2026 12:21:41"
"EXP1\charts\exp1_underlying_level1_distribution_stacked_bar_children.svg","7201","11/07/2026 12:21:41"
"EXP1\charts\exp1_underlying_level1_distribution_stacked_bar_infants.svg","4190","11/07/2026 12:21:41"
"EXP1\charts\exp1_underlying_level1_distribution_stacked_bar_overall.svg","11423","11/07/2026 12:21:41"
