level,cause_code,cause_name,Adult,Child,Infant,Total
Level 1,01,Communicable disease,1073 (44%),677 (74%),30 (6%),1780 (46%)
Level 1,03,Non communicable disease,1114 (45%),145 (16%),3 (1%),1262 (33%)
Level 1,05,Causes specific to infancy,0 (0%),27 (3%),400 (80%),427 (11%)
Level 1,04,External cause,193 (8%),62 (7%),6 (1%),261 (7%)
Level 1,02,Direct maternal cause,53 (2%),0 (0%),56 (11%),109 (3%)
Level 1,00,Unspecifiable,20 (1%),1 (0%),6 (1%),27 (1%)
Level 2,01-01,Communicable disease: Acute febrile illness,330 (13%),510 (56%),30 (6%),870 (23%)
Level 2,01-04,Communicable disease: TB/AIDS,674 (27%),81 (9%),0 (0%),755 (20%)
Level 2,03-01,Non communicable disease: Cardiovascular disorder,468 (19%),11 (1%),0 (0%),479 (12%)
Level 2,03-06,Non communicable disease: Neoplasm,212 (9%),12 (1%),0 (0%),224 (6%)
Level 2,03-03,Non communicable disease: Gastro intestinal disorder,192 (8%),8 (1%),1 (0%),201 (5%)
Level 2,05-03,Causes specific to infancy: Prematurity/low birth weight,0 (0%),4 (0%),140 (28%),144 (4%)
Level 2,05-05,Causes specific to infancy: Birth injury/asphyxia,0 (0%),1 (0%),131 (26%),132 (3%)
Level 2,01-05,Communicable disease: Diarrhoeal disease without fever,35 (1%),78 (9%),0 (0%),113 (3%)
Level 2,05-06,Causes specific to infancy: Neonatal sepsis,0 (0%),5 (1%),93 (19%),98 (3%)
Level 2,03-09,Non communicable disease: Nutritional disorder,11 (0%),63 (7%),1 (0%),75 (2%)
Level 2,04-01,External cause: Transport,62 (3%),9 (1%),0 (0%),71 (2%)
Level 2,02-04,Direct maternal cause: Obstructed labour,15 (1%),0 (0%),55 (11%),70 (2%)
Level 2,03-04,Non communicable disease: Central nervous system disorder,56 (2%),13 (1%),0 (0%),69 (2%)
Level 2,03-02,Non communicable disease: Respiratory disorder,54 (2%),10 (1%),0 (0%),64 (2%)
Level 2,03-05,Non communicable disease: Endocrine disorders,57 (2%),0 (0%),0 (0%),57 (1%)
Level 2,04-03,External cause: Drowning/submersion,23 (1%),25 (3%),0 (0%),48 (1%)
Level 2,03-07,Non communicable disease: Genito urinary disorders,38 (2%),5 (1%),1 (0%),44 (1%)
Level 2,04-05,External cause: Poisoning/exposure to noxious substance,30 (1%),6 (1%),0 (0%),36 (1%)
Level 2,03-08,Non communicable disease: Anaemia,12 (0%),18 (2%),0 (0%),30 (1%)
Level 2,04-08,External cause: Hanging,27 (1%),1 (0%),0 (0%),28 (1%)
Level 2,01-99,Communicable disease: Other specific unlisted,22 (1%),4 (0%),0 (0%),26 (1%)
Level 2,04-02,External cause: Fall,16 (1%),5 (1%),0 (0%),21 (1%)
Level 2,04-06,External cause: Use of weapon,21 (1%),0 (0%),0 (0%),21 (1%)
Level 2,05-04,Causes specific to infancy: Congenital abnormality,0 (0%),9 (1%),11 (2%),20 (1%)
Level 2,03-99,Non communicable disease: Other specific unlisted,14 (1%),5 (1%),0 (0%),19 (0%)
Level 2,05-08,Causes specific to infancy: Sudden infant death syndrome,0 (0%),5 (1%),11 (2%),16 (0%)
Level 2,04-99,External cause: Other specific unlisted,10 (0%),5 (1%),0 (0%),15 (0%)
Level 2,00-03,Unspecifiable: No significant pathology that would explain the death,11 (0%),0 (0%),3 (1%),14 (0%)
Level 2,01-03,Communicable disease: Hepatitis,11 (0%),2 (0%),0 (0%),13 (0%)
Level 2,02-03,Direct maternal cause: Ante postpartum haemorrhage,13 (1%),0 (0%),0 (0%),13 (0%)
Level 2,00-02,Unspecifiable: Specific information missing on VAQ,8 (0%),1 (0%),3 (1%),12 (0%)
Level 2,04-09,External cause: Choking,0 (0%),5 (1%),6 (1%),11 (0%)
Level 2,05-00,Causes specific to infancy: Unspecifiable,0 (0%),0 (0%),9 (2%),9 (0%)
Level 2,02-05,Direct maternal cause: Puerperal sepsis,7 (0%),0 (0%),0 (0%),7 (0%)
Level 2,02-99,Direct maternal cause: Other specific unlisted,7 (0%),0 (0%),0 (0%),7 (0%)
Level 2,05-99,Causes specific to infancy: Other specific unlisted,0 (0%),3 (0%),4 (1%),7 (0%)
Level 2,04-07,External cause: Contact with venomous animals and plants,2 (0%),4 (0%),0 (0%),6 (0%)
Level 2,02-01,Direct maternal cause: Abortion,5 (0%),0 (0%),0 (0%),5 (0%)
Level 2,02-02,Direct maternal cause: Eclampsia,4 (0%),0 (0%),1 (0%),5 (0%)
Level 2,01-07,Communicable disease: Rabies,1 (0%),2 (0%),0 (0%),3 (0%)
Level 2,04-04,External cause: Exposure to smoke/fire/flames,1 (0%),2 (0%),0 (0%),3 (0%)
Level 2,02-06,Direct maternal cause: Anaemia in pregnancy,2 (0%),0 (0%),0 (0%),2 (0%)
Level 2,00-04,"Unspecifiable: Multiple significant pathology, single COD can't be isolated",1 (0%),0 (0%),0 (0%),1 (0%)
Level 2,04-00,External cause: Unspecifiable,1 (0%),0 (0%),0 (0%),1 (0%)
Level 2,05-09,Causes specific to infancy: Neonatal tetanus,0 (0%),0 (0%),1 (0%),1 (0%)
