va_type,cause_code,cause_name,phy_count,exp1_count,phy_csmf_pct,exp1_csmf_pct,difference_pp,abs_difference_pp
adult,01-04,TB/AIDS,767,674,31.267835303709745,27.476559315124337,-3.7912759885854075,3.7912759885854075
adult,03-00,Unspecifiable,44,0,1.7937219730941705,0.0,-1.7937219730941705,1.7937219730941705
adult,01-00,Unspecifiable,20,0,0.8153281695882593,0.0,-0.8153281695882593,0.8153281695882593
adult,04-05,Poisoning/exposure to noxious substance,48,30,1.9567876070118222,1.222992254382389,-0.7337953526294332,0.7337953526294332
adult,03-05,Endocrine disorders,73,57,2.9759478189971467,2.323685283326539,-0.6522625356706075,0.6522625356706075
adult,01-05,Diarrhoeal disease without fever,16,35,0.6522625356706074,1.4268242967794538,0.7745617611088463,0.7745617611088463
adult,03-01,Cardiovascular disorder,449,468,18.30411740725642,19.078679168365266,0.7745617611088468,0.7745617611088468
adult,01-99,Other specific unlisted,0,22,0.0,0.8968609865470852,0.8968609865470852,0.8968609865470852
adult,03-06,Neoplasm,183,212,7.460252751732573,8.642478597635549,1.182225845902976,1.182225845902976
adult,01-01,Acute febrile illness,254,330,10.354667753770892,13.452914798206278,3.098247044435386,3.098247044435386
child,01-04,TB/AIDS,142,81,15.570175438596493,8.881578947368421,-6.688596491228072,6.688596491228072
child,04-00,Unspecifiable,14,0,1.5350877192982455,0.0,-1.5350877192982455,1.5350877192982455
child,01-00,Unspecifiable,10,0,1.0964912280701753,0.0,-1.0964912280701753,1.0964912280701753
child,05-04,Congenital abnormality,17,9,1.8640350877192982,0.9868421052631579,-0.8771929824561403,0.8771929824561403
child,03-08,Anaemia,23,18,2.5219298245614032,1.9736842105263157,-0.5482456140350876,0.5482456140350876
child,03-99,Other specific unlisted,0,5,0.0,0.5482456140350876,0.5482456140350876,0.5482456140350876
child,03-01,Cardiovascular disorder,4,11,0.43859649122807015,1.2061403508771928,0.7675438596491228,0.7675438596491228
child,01-01,Acute febrile illness,501,510,54.93421052631579,55.92105263157895,0.9868421052631637,0.9868421052631637
child,03-09,Nutritional disorder,46,63,5.0438596491228065,6.907894736842106,1.8640350877192993,1.8640350877192993
child,01-05,Diarrhoeal disease without fever,36,78,3.9473684210526314,8.552631578947368,4.605263157894737,4.605263157894737
infant,05-05,Birth injury/asphyxia,205,131,40.91816367265469,26.147704590818364,-14.770459081836323,14.770459081836323
infant,05-00,Unspecifiable,20,9,3.992015968063872,1.7964071856287425,-2.19560878243513,2.19560878243513
infant,05-03,Prematurity/low birth weight,145,140,28.942115768463072,27.944111776447105,-0.9980039920159667,0.9980039920159667
infant,05-06,Neonatal sepsis,96,93,19.16167664670659,18.562874251497004,-0.5988023952095828,0.5988023952095828
infant,00-02,Specific information missing on VAQ,0,3,0.0,0.5988023952095809,0.5988023952095809,0.5988023952095809
infant,05-99,Other specific unlisted,0,4,0.0,0.7984031936127743,0.7984031936127743,0.7984031936127743
infant,04-09,Choking,0,6,0.0,1.1976047904191618,1.1976047904191618,1.1976047904191618
infant,05-08,Sudden infant death syndrome,2,11,0.39920159680638717,2.19560878243513,1.796407185628743,1.796407185628743
infant,01-01,Acute febrile illness,16,30,3.1936127744510974,5.9880239520958085,2.7944111776447107,2.7944111776447107
infant,02-04,Obstructed labour,0,55,0.0,10.978043912175648,10.978043912175648,10.978043912175648
