characteristic,category,EXP1_n,EXP1_percent,EXP2_n,EXP2_percent,EXP3_n,EXP3_percent,EXP4_n,EXP4_percent
Level 1 underlying,01 - Communicable disease,1780,46.0,1946,50.5,1549,43.3,1991,51.5
Level 1 underlying,03 - Non communicable disease,1262,32.6,1126,29.2,1286,35.9,1062,27.5
Level 1 underlying,05 - Causes specific to infancy,427,11.0,360,9.3,391,10.9,385,10.0
Level 1 underlying,04 - External cause,261,6.8,264,6.8,236,6.6,237,6.1
Level 1 underlying,02 - Direct maternal cause,109,2.8,82,2.1,82,2.3,71,1.8
Level 1 underlying,00 - Unspecified,27,0.7,79,2.0,35,1.0,117,3.0
Top Level 2 underlying causes,01-01 - Acute febrile illness,870,22.5,1021,26.5,825,23.1,1043,27.0
Top Level 2 underlying causes,01-04 - TB/AIDS,755,19.5,777,20.1,579,16.2,826,21.4
Top Level 2 underlying causes,03-01 - Cardiovascular disorder,479,12.4,430,11.1,448,12.5,381,9.9
Top Level 2 underlying causes,03-06 - Neoplasm,224,5.8,164,4.3,212,5.9,187,4.8
Top Level 2 underlying causes,03-03 - Gastro intestinal disorder,201,5.2,172,4.5,211,5.9,144,3.7
Top Level 2 underlying causes,05-03 - Prematurity/low birth weight,144,3.7,,,124,3.5,,
Top Level 2 underlying causes,05-05 - Birth injury/asphyxia,132,3.4,,,140,3.9,75,1.9
Top Level 2 underlying causes,01-05 - Diarrhoeal disease without fever,113,2.9,138,3.6,114,3.2,109,2.8
Top Level 2 underlying causes,05-06 - Neonatal sepsis,98,2.5,87,2.3,81,2.3,113,2.9
Top Level 2 underlying causes,03-09 - Nutritional disorder,75,1.9,,,71,2.0,64,1.7
Top Level 2 underlying causes,04-01 - Transport,71,1.8,,,,,,
Top Level 2 underlying causes,02-04 - Obstructed labour,70,1.8,,,,,,
Top Level 2 underlying causes,05-00 - Unspecifiable,,,106,2.7,,,100,2.6
Top Level 2 underlying causes,00-02 - Specific information missing on VAQ,,,68,1.8,,,99,2.6
Top Level 2 underlying causes,03-02 - Respiratory disorder,,,68,1.8,72,2.0,,
Top Level 2 underlying causes,03-04 - Central nervous system disorder,,,68,1.8,76,2.1,,
Top Level 2 underlying causes,04-99 - Other specific unlisted,,,67,1.7,,,,
Top Level 2 underlying causes,03-07 - Genito urinary disorders,,,,,,,59,1.5
