va_type,experiment,jaccard_bin,n,percent,,,,,,,,,,,,
adult,EXP1,0,296,12%,,,,,,,,,,,,
adult,EXP1,>0-0.25,638,26%,,,,,,,,,,,,
adult,EXP1,>0.25-0.5,1175,48%,,,,,,,,,,,,
adult,EXP1,>0.5-0.75,73,3%,,,,,,,,,,,,
adult,EXP1,>0.75-<1,0,0%,,,,,,,,,,,,
adult,EXP1,1,286,12%,,,,,,,,,,,,
adult,EXP2,0,586,24%,,,,,,,,,,,,
adult,EXP2,>0-0.25,485,20%,,,,,,,,,,,,
adult,EXP2,>0.25-0.5,989,40%,,,,,,,,,,,,
adult,EXP2,>0.5-0.75,76,3%,,,,,,,,,,,,
adult,EXP2,>0.75-<1,0,0%,,,,,,,,,,,,
adult,EXP2,1,332,13%,,,,,,,,,,,,
adult,EXP3,0,621,25%,,,,,,,,,,,,
adult,EXP3,>0-0.25,212,9%,,,,,,,,,,,,
adult,EXP3,>0.25-0.5,1075,44%,,,,,,,,,,,,
adult,EXP3,>0.5-0.75,59,2%,,,,,,,,,,,,
adult,EXP3,>0.75-<1,0,0%,,,,,,,,,,,,
adult,EXP3,1,501,20%,,,,,,,,,,,,
adult,EXP4,0,549,22%,,,,,,,,,,,,
adult,EXP4,>0-0.25,553,22%,,,,,,,,,,,,
adult,EXP4,>0.25-0.5,1019,41%,,,,,,,,,,,,
adult,EXP4,>0.5-0.75,68,3%,,,,,,,,,,,,
adult,EXP4,>0.75-<1,0,0%,,,,,,,,,,,,
adult,EXP4,1,279,11%,,,,,,,,,,,,
child,EXP1,0,132,14%,,,,,,,,,,,,
child,EXP1,>0-0.25,106,12%,,,,,,,,,,,,
child,EXP1,>0.25-0.5,428,47%,,,,,,,,,,,,
child,EXP1,>0.5-0.75,17,2%,,,,,,,,,,,,
child,EXP1,>0.75-<1,0,0%,,,,,,,,,,,,
child,EXP1,1,230,25%,,,,,,,,,,,,
child,EXP2,0,199,22%,,,,,,,,,,,,
child,EXP2,>0-0.25,87,10%,,,,,,,,,,,,
child,EXP2,>0.25-0.5,355,39%,,,,,,,,,,,,
child,EXP2,>0.5-0.75,10,1%,,,,,,,,,,,,
child,EXP2,>0.75-<1,0,0%,,,,,,,,,,,,
child,EXP2,1,262,29%,,,,,,,,,,,,
child,EXP3,0,222,24%,,,,,,,,,,,,
child,EXP3,>0-0.25,39,4%,,,,,,,,,,,,
child,EXP3,>0.25-0.5,375,41%,,,,,,,,,,,,
child,EXP3,>0.5-0.75,10,1%,,,,,,,,,,,,
child,EXP3,>0.75-<1,0,0%,,,,,,,,,,,,
child,EXP3,1,267,29%,,,,,,,,,,,,
child,EXP4,0,189,21%,,,,,,,,,,,,
child,EXP4,>0-0.25,90,10%,,,,,,,,,,,,
child,EXP4,>0.25-0.5,390,43%,,,,,,,,,,,,
child,EXP4,>0.5-0.75,11,1%,,,,,,,,,,,,
child,EXP4,>0.75-<1,0,0%,,,,,,,,,,,,
child,EXP4,1,233,26%,,,,,,,,,,,,
infant,EXP1,0,83,17%,,,,,,,,,,,,
infant,EXP1,>0-0.25,23,5%,,,,,,,,,,,,
infant,EXP1,>0.25-0.5,290,58%,,,,,,,,,,,,
infant,EXP1,>0.5-0.75,9,2%,,,,,,,,,,,,
infant,EXP1,>0.75-<1,0,0%,,,,,,,,,,,,
infant,EXP1,1,96,19%,,,,,,,,,,,,
infant,EXP2,0,264,53%,,,,,,,,,,,,
infant,EXP2,>0-0.25,10,2%,,,,,,,,,,,,
infant,EXP2,>0.25-0.5,158,32%,,,,,,,,,,,,
infant,EXP2,>0.5-0.75,2,0%,,,,,,,,,,,,
infant,EXP2,>0.75-<1,0,0%,,,,,,,,,,,,
infant,EXP2,1,67,13%,,,,,,,,,,,,
infant,EXP3,0,133,27%,,,,,,,,,,,,
infant,EXP3,>0-0.25,12,2%,,,,,,,,,,,,
infant,EXP3,>0.25-0.5,256,51%,,,,,,,,,,,,
infant,EXP3,>0.5-0.75,10,2%,,,,,,,,,,,,
infant,EXP3,>0.75-<1,0,0%,,,,,,,,,,,,
infant,EXP3,1,90,18%,,,,,,,,,,,,
infant,EXP4,0,249,50%,,,,,,,,,,,,
infant,EXP4,>0-0.25,10,2%,,,,,,,,,,,,
infant,EXP4,>0.25-0.5,178,36%,,,,,,,,,,,,
infant,EXP4,>0.5-0.75,3,1%,,,,,,,,,,,,
infant,EXP4,>0.75-<1,0,0%,,,,,,,,,,,,
infant,EXP4,1,61,12%,,,,,,,,,,,,
