metric,level,experiment,n,estimate,ci_low,ci_high
underlying_exact_agreement,level1,EXP1,3866,0.8654940506983962,0.8548823072943611,0.8763579927573719
csmf_accuracy,level1,EXP1,3866,0.9741334712881531,0.9632630625969995,0.9782721158820487
flexible_any_code_overlap,level1,EXP1,3882,0.9726944873776404,0.9675425038639877,0.9775953116950026
pooled_jaccard_mean,level1,EXP1,3882,0.6875751330929074,0.6787652412845612,0.695972329555212
underlying_exact_agreement,level1,EXP2,3866,0.8150543197102949,0.8023797206414899,0.8279875840662183
csmf_accuracy,level1,EXP2,3866,0.9289603318641432,0.9166866752426667,0.9412103778506582
flexible_any_code_overlap,level1,EXP2,3882,0.9214322514167954,0.9129250386398763,0.9291666666666667
pooled_jaccard_mean,level1,EXP2,3882,0.6518976472608621,0.6420423321312038,0.6619241585093595
underlying_exact_agreement,level1,EXP3,3866,0.785307811691671,0.7726267459906879,0.797465080186239
csmf_accuracy,level1,EXP3,3866,0.9416037999441185,0.9300107082278765,0.9524890097916738
flexible_any_code_overlap,level1,EXP3,3882,0.868366821226172,0.8572836166924266,0.8786707882534776
pooled_jaccard_mean,level1,EXP3,3882,0.6621372144942469,0.6515960415593336,0.6725286579082946
underlying_exact_agreement,level1,EXP4,3866,0.8098810139679256,0.797458613554061,0.8220382824624936
csmf_accuracy,level1,EXP4,3866,0.9106911726637329,0.897709106485422,0.9237002069322298
flexible_any_code_overlap,level1,EXP4,3882,0.9260690365790829,0.9180834621329211,0.9337970118495621
pooled_jaccard_mean,level1,EXP4,3882,0.652284046024386,0.6414219474497682,0.6624629701184955
underlying_exact_agreement,level2,EXP1,3866,0.7250387997930677,0.7113295395757889,0.739006725297465
csmf_accuracy,level2,EXP1,3866,0.8820486290739783,0.8667873771339887,0.8916192446973616
flexible_any_code_overlap,level2,EXP1,3882,0.868366821226172,0.8583140133951571,0.8789283874291602
pooled_jaccard_mean,level2,EXP1,3882,0.4268749540001472,0.41833988064571526,0.43594761230097395
underlying_exact_agreement,level2,EXP2,3866,0.5975168132436627,0.5819968960165546,0.6130431971029487
csmf_accuracy,level2,EXP2,3866,0.8091781177080632,0.7925289320479884,0.8223272716780896
flexible_any_code_overlap,level2,EXP2,3882,0.7297784647089129,0.7163833075734157,0.7449768160741885
pooled_jaccard_mean,level2,EXP2,3882,0.3870636147297662,0.37701375088933053,0.39754876751061063
underlying_exact_agreement,level2,EXP3,3866,0.6381272633212622,0.6228660113812726,0.6533949818934299
csmf_accuracy,level2,EXP3,3866,0.8588991338362671,0.8424584169793556,0.8680361744507058
flexible_any_code_overlap,level2,EXP3,3882,0.7485832045337455,0.734672849046883,0.7619912416280268
pooled_jaccard_mean,level2,EXP3,3882,0.44354346066092587,0.43212727852604205,0.45456028740708027
underlying_exact_agreement,level2,EXP4,3866,0.6008794619762028,0.5856182100362132,0.6161407139161924
csmf_accuracy,level2,EXP4,3866,0.8110276986797825,0.7950738999364071,0.8217639656222582
flexible_any_code_overlap,level2,EXP4,3882,0.7457496136012365,0.7323480164863472,0.7594023699124163
pooled_jaccard_mean,level2,EXP4,3882,0.3755756114913766,0.3652919073992297,0.3861246964009715
underlying_exact_agreement,level3,EXP1,3866,0.5501810657009829,0.5351720124159338,0.5659725814795654
csmf_accuracy,level3,EXP1,3866,0.7415933781686497,0.722963010863942,0.7516877909984481
flexible_any_code_overlap,level3,EXP1,3882,0.7225656877897991,0.7094216898505925,0.736224884080371
pooled_jaccard_mean,level3,EXP1,3882,0.30315385212989543,0.2949135509433037,0.3115632283310027
underlying_exact_agreement,level3,EXP2,3866,0.4474909467149509,0.4311950336264873,0.4637868598034144
csmf_accuracy,level3,EXP2,3866,0.7259528130671506,0.707025070821177,0.7370204025632334
flexible_any_code_overlap,level3,EXP2,3882,0.5891293147861927,0.5741692426584235,0.6053580628541989
pooled_jaccard_mean,level3,EXP2,3882,0.27024739743055043,0.26013344301742675,0.2797720093962366
underlying_exact_agreement,level3,EXP3,3866,0.47258147956544233,0.45706156233833417,0.48810139679255043
csmf_accuracy,level3,EXP3,3866,0.7049455155071249,0.68500573470423,0.7165997335521233
flexible_any_code_overlap,level3,EXP3,3882,0.616692426584235,0.6014940752189593,0.6321483771251932
pooled_jaccard_mean,level3,EXP3,3882,0.3184207943867913,0.30803557628615585,0.32870041215868107
underlying_exact_agreement,level3,EXP4,3866,0.4472322814278324,0.4319710294878427,0.46353466114847386
csmf_accuracy,level3,EXP4,3866,0.7240486668392441,0.7056377546031303,0.7355756791720569
flexible_any_code_overlap,level3,EXP4,3882,0.6058732612055642,0.5899021123132406,0.6210716125708398
pooled_jaccard_mean,level3,EXP4,3882,0.25568476403097734,0.24709032531095898,0.2649412454102369
