evaluation,experiment,comparison,level,n_excluded_blank_reference,n_compared,n_exact_set_agree,exact_set_agreement,n_any_overlap,any_overlap,cohen_kappa,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,1268,3882,288,0.07418856259659969,2805,0.7225656877897991,0.2633909219042842,0.25475006115958576,0.7053510950553172,0.3743110472082435,0.23090200092771185,0.44284028806098125,0.2707042355298636,0.46422245641262455,0.7053510950553172,0.5205044188602919
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,level2,1268,3882,612,0.15765069551777433,3371,0.868366821226172,0.33169225832279714,0.3457694870086609,0.8542205501998589,0.4922764227642277,0.28923122913573157,0.5479557931114519,0.34340764464259377,0.5343534756452856,0.8542205501998589,0.6264538434375769
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,level1,1268,3882,1620,0.41731066460587324,3776,0.9726944873776404,0.4589569620819094,0.613816710751517,0.9678606476938175,0.7512139388746072,0.4609642770394663,0.6796627171837801,0.5322026140678965,0.6798168925963775,0.9678606476938175,0.7882178517743679
Evaluation 2: EXP3 vs PHY,EXP3,EXP3_pooled_any_type vs PHY_pooled_any_type,full,1268,3882,487,0.12545079855744462,2394,0.616692426584235,0.26079811788615603,0.28130360205831906,0.5924587943102281,0.38147852002616855,0.24455796646929281,0.38960844416662593,0.2674822395483401,0.4979356962827161,0.5924587943102281,0.4936750391685068
Evaluation 2: EXP3 vs PHY,EXP3,EXP3_pooled_any_type vs PHY_pooled_any_type,level2,1268,3882,858,0.22102009273570325,2906,0.7485832045337455,0.3161987107982566,0.38697942799799295,0.7253703268281213,0.5047034764826176,0.2905686070347852,0.47628186729407623,0.32658990973457946,0.5742003815089005,0.7253703268281213,0.6063118866006008
Evaluation 2: EXP3 vs PHY,EXP3,EXP3_pooled_any_type vs PHY_pooled_any_type,level1,1268,3882,1821,0.46908809891808345,3371,0.868366821226172,0.39009815897457634,0.6094023068857043,0.85549558390579,0.7117779138599714,0.4174557933395676,0.5269445461523832,0.4474173501093423,0.7268542536035124,0.85549558390579,0.774496802185663
Evaluation 3: EXP2 vs EXP1 vs PHY,EXP2,EXP2_pooled_any_type vs PHY_pooled_any_type,full,1268,3882,351,0.09041731066460587,2287,0.5891293147861927,0.20889687605326623,0.23390677025527193,0.5710092571686611,0.33186798766485137,0.22950529917624254,0.30074928539523776,0.21665770992884617,0.4652420766485538,0.5710092571686611,0.46046514919542686
Evaluation 3: EXP2 vs EXP1 vs PHY,EXP2,EXP2_pooled_any_type vs PHY_pooled_any_type,level2,1268,3882,661,0.1702730551262236,2833,0.7297784647089129,0.25827369851082677,0.3219837157660992,0.7159652010345638,0.4442013129102845,0.29750299015594933,0.35511028518151366,0.27035581562470473,0.5363388383303491,0.7159652010345638,0.5652185231814031
Evaluation 3: EXP2 vs EXP1 vs PHY,EXP2,EXP2_pooled_any_type vs PHY_pooled_any_type,level1,1268,3882,1577,0.4062339000515198,3577,0.9214322514167954,0.4073795039679657,0.5820825515947468,0.9133954857703631,0.711038961038961,0.43897648038631126,0.541236806605014,0.4745422342187315,0.6832114689523829,0.9133954857703631,0.7685684997412084
Evaluation 3: EXP2 vs EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,1268,3882,288,0.07418856259659969,2805,0.7225656877897991,0.2633909219042842,0.25475006115958576,0.7053510950553172,0.3743110472082435,0.23090200092771185,0.44284028806098125,0.2707042355298636,0.46422245641262455,0.7053510950553172,0.5205044188602919
Evaluation 3: EXP2 vs EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,level2,1268,3882,612,0.15765069551777433,3371,0.868366821226172,0.33169225832279714,0.3457694870086609,0.8542205501998589,0.4922764227642277,0.28923122913573157,0.5479557931114519,0.34340764464259377,0.5343534756452856,0.8542205501998589,0.6264538434375769
Evaluation 3: EXP2 vs EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,level1,1268,3882,1620,0.41731066460587324,3776,0.9726944873776404,0.4589569620819094,0.613816710751517,0.9678606476938175,0.7512139388746072,0.4609642770394663,0.6796627171837801,0.5322026140678965,0.6798168925963775,0.9678606476938175,0.7882178517743679
Evaluation 4: EXP2 vs EXP4 vs PHY,EXP2,EXP2_pooled_any_type vs PHY_pooled_any_type,full,1268,3882,351,0.09041731066460587,2287,0.5891293147861927,0.20889687605326623,0.23390677025527193,0.5710092571686611,0.33186798766485137,0.22950529917624254,0.30074928539523776,0.21665770992884617,0.4652420766485538,0.5710092571686611,0.46046514919542686
Evaluation 4: EXP2 vs EXP4 vs PHY,EXP2,EXP2_pooled_any_type vs PHY_pooled_any_type,level2,1268,3882,661,0.1702730551262236,2833,0.7297784647089129,0.25827369851082677,0.3219837157660992,0.7159652010345638,0.4442013129102845,0.29750299015594933,0.35511028518151366,0.27035581562470473,0.5363388383303491,0.7159652010345638,0.5652185231814031
Evaluation 4: EXP2 vs EXP4 vs PHY,EXP2,EXP2_pooled_any_type vs PHY_pooled_any_type,level1,1268,3882,1577,0.4062339000515198,3577,0.9214322514167954,0.4073795039679657,0.5820825515947468,0.9133954857703631,0.711038961038961,0.43897648038631126,0.541236806605014,0.4745422342187315,0.6832114689523829,0.9133954857703631,0.7685684997412084
Evaluation 4: EXP2 vs EXP4 vs PHY,EXP4,EXP4_pooled_any_type vs PHY_pooled_any_type,full,1268,3882,258,0.06646058732612056,2352,0.6058732612055642,0.20757454290881205,0.23018400566171268,0.5874915330774442,0.3307697196974512,0.22160950486358455,0.30871134581208376,0.21568125941418806,0.4452305017827445,0.5874915330774442,0.4574871446535793
Evaluation 4: EXP2 vs EXP4 vs PHY,EXP4,EXP4_pooled_any_type vs PHY_pooled_any_type,level2,1268,3882,573,0.14760432766615147,2895,0.7457496136012365,0.26193198086543323,0.31790785575646135,0.7317187867387727,0.44324170346104547,0.29407548919701015,0.3671803744192606,0.2749851269847515,0.5110554109203014,0.7317187867387727,0.559388518941497
Evaluation 4: EXP2 vs EXP4 vs PHY,EXP4,EXP4_pooled_any_type vs PHY_pooled_any_type,level1,1268,3882,1563,0.4026275115919629,3595,0.9260690365790829,0.4048735811060202,0.5823474470734745,0.9178115799803729,0.7125714285714286,0.4353082746347185,0.5370595038678294,0.47241849287638205,0.6783780086260398,0.9178115799803729,0.7690195571321154
