evaluation,metric_type,comparison,level,n_compared,n_agree,accuracy,n_any_overlap,any_overlap,cohen_kappa,cohen_kappa_weighted_by_support,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_excluded_blank_reference
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,330,121,0.36666666666666664,,,0.3413739758207758,,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.22377657405707896,0.2713331516154097,0.20301705962896416,0.5051843245321506,0.36666666666666664,0.3930593372194713,4820
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,330,182,0.5515151515151515,,,0.4772333183482114,,0.5515151515151515,0.5515151515151515,0.5515151515151515,0.29292857955752993,0.3802268230281623,0.2671849661528725,0.6728434313738639,0.5515151515151515,0.5863434325353796,4820
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,330,243,0.7363636363636363,,,0.563691073219659,,0.7363636363636363,0.7363636363636363,0.7363636363636363,0.6045773323599035,0.5666706481923873,0.5809306266862552,0.7641938734259701,0.7363636363636363,0.7409615303468976,4820
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,3866,2127,0.5501810657009829,,,0.524710014016266,,0.5501810657009829,0.5501810657009829,0.5501810657009829,0.3538472388629379,0.385659892602067,0.3360139935102888,0.620061157555279,0.5501810657009829,0.5537210157278192,1284
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,level2,3866,2803,0.7250387997930677,,,0.6884241284224907,,0.7250387997930677,0.7250387997930677,0.7250387997930677,0.45859774225721034,0.49742806301982373,0.45318604168381177,0.7516103240000789,0.7250387997930677,0.729947774109722,1284
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,level1,3866,3346,0.8654940506983962,,,0.7971671280632221,,0.8654940506983962,0.8654940506983962,0.8654940506983962,0.6754871441339576,0.7178257074704959,0.6830261978009102,0.8793425417095734,0.8654940506983962,0.8704013476054695,1284
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,257,31,0.12062256809338522,128.0,0.4980544747081712,0.07432889883702737,0.33693776628714334,0.21993127147766323,0.4980544747081712,0.30512514898688914,0.07529449579844837,0.11155269549529867,0.08440091956002292,0.4001581089637256,0.4980544747081712,0.43370548644835666,4893
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,257,49,0.19066147859922178,167.0,0.6498054474708171,0.11205598616639964,0.4137321442722597,0.30868761552680224,0.6498054474708171,0.418546365914787,0.10977303043616836,0.21820372290688297,0.1344906262873082,0.48055101481514856,0.6498054474708171,0.5377161310203202,4893
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,257,138,0.5369649805447471,227.0,0.8832684824902723,0.18660865628828685,0.365651869498459,0.6448863636363636,0.8832684824902723,0.7454844006568144,0.2371302961744138,0.3492235384252711,0.2756509819148811,0.740653747717149,0.8832684824902723,0.7951741211599358,4893
Evaluation 2: EXP3 vs PHY,direct,EXP3_direct vs PHY_direct,full,330,122,0.3696969696969697,,,0.34471302554702715,,0.3696969696969697,0.3696969696969697,0.3696969696969697,0.26565286224460877,0.2817569201043777,0.22473295527060588,0.5534229619012228,0.3696969696969697,0.410008222300744,4820
Evaluation 2: EXP3 vs PHY,direct,EXP3_direct vs PHY_direct,level2,330,159,0.4818181818181818,,,0.4060750221024712,,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.311884500217658,0.35848907416987774,0.25965763211201554,0.6611176149320107,0.4818181818181818,0.533625637322251,4820
