experiment,level,n_compared,n_agree,accuracy,cohen_kappa,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_excluded_blank_reference
EXP1,level1,3866,3346,0.8654940506983962,0.7971671280632221,0.6754871441339576,0.7178257074704959,0.6830261978009102,0.8793425417095734,0.8654940506983962,0.8704013476054695,1284
EXP1,level2,3866,2803,0.7250387997930677,0.6884241284224907,0.4585977422572103,0.4974280630198237,0.4531860416838117,0.7516103240000789,0.7250387997930677,0.729947774109722,1284
EXP1,level3,3866,2127,0.5501810657009829,0.524710014016266,0.3538472388629379,0.385659892602067,0.3360139935102888,0.620061157555279,0.5501810657009829,0.5537210157278192,1284
EXP2,level1,3866,3151,0.8150543197102949,0.7184961968028498,0.5709905672757734,0.5635962841720403,0.5593382722999211,0.8415118561475454,0.8150543197102949,0.8232458194711928,1284
EXP2,level2,3866,2310,0.5975168132436627,0.5415795021925781,0.3698123276107161,0.3071237161579943,0.3052324280268708,0.6745289320364036,0.5975168132436627,0.6104647582780218,1284
EXP2,level3,3866,1730,0.4474909467149509,0.4154588913747622,0.3019829209042514,0.2651345986416908,0.2476658369287417,0.5589421951318108,0.4474909467149509,0.4666479804117074,1284
EXP3,level1,3866,3036,0.785307811691671,0.689058207177986,0.5800380360817837,0.5553140549272253,0.5604503506168793,0.8658365510776085,0.785307811691671,0.8209477282612563,1284
EXP3,level2,3866,2467,0.6381272633212622,0.5964010407467096,0.41331016770542,0.4076605082343287,0.3864710429858788,0.733094252731477,0.6381272633212622,0.6691293364213953,1284
EXP3,level3,3866,1827,0.4725814795654423,0.449768987789519,0.3443123928290134,0.3366500538332191,0.3075018405169881,0.6250647055250872,0.4725814795654423,0.5021121271962014,1284
EXP4,level1,3866,3131,0.8098810139679256,0.7104684322035411,0.576799019602153,0.5451070929204475,0.5553795060677263,0.8425111303851032,0.8098810139679256,0.8207861150523579,1284
EXP4,level2,3866,2323,0.6008794619762028,0.5440188824451905,0.3742136774444046,0.2911348380389221,0.2975811412090707,0.6746414710169454,0.6008794619762028,0.6120568902544198,1284
EXP4,level3,3866,1729,0.4472322814278324,0.4138553515083414,0.295684502660095,0.2519916485096773,0.242269350246036,0.5483066287549481,0.4472322814278324,0.4624765231325556,1284
