stratum,va_type,age_group,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_age,adult,15-24,level1,EXP1,170,170,4,0.082352941,0.9588235294117647,0.954248366
va_type_age,adult,15-24,level1,EXP2,170,170,5,0.070588235,0.9647058823529412,0.9647058823529412
va_type_age,adult,15-24,level1,EXP3,170,159,5,0.10403255641879397,0.947983722,0.947983722
va_type_age,adult,15-24,level1,EXP4,170,170,5,0.12941176470588234,0.9352941176470588,0.9352941176470588
va_type_age,adult,15-24,level2,EXP1,170,170,33,0.341176471,0.829411765,0.829411765
va_type_age,adult,15-24,level2,EXP2,170,170,32,0.352941176,0.823529412,0.823529412
va_type_age,adult,15-24,level2,EXP3,170,159,34,0.432704403,0.783647799,0.783647799
va_type_age,adult,15-24,level2,EXP4,170,170,31,0.435294118,0.782352941,0.782352941
va_type_age,adult,15-24,level3,EXP1,170,170,56,0.705882353,0.647058824,0.647058824
va_type_age,adult,15-24,level3,EXP2,170,170,54,0.623529412,0.688235294,0.688235294
va_type_age,adult,15-24,level3,EXP3,170,159,57,0.771883093,0.614058454,0.614058454
va_type_age,adult,15-24,level3,EXP4,170,170,54,0.694117647,0.652941176,0.652941176
va_type_age,adult,25-44,level1,EXP1,769,769,5,0.049414824,0.975292588,0.975292588
va_type_age,adult,25-44,level1,EXP2,769,767,5,0.086751449,0.956624275,0.956624275
va_type_age,adult,25-44,level1,EXP3,769,723,6,0.188950461,0.905524769,0.905524769
va_type_age,adult,25-44,level1,EXP4,769,768,5,0.131860912,0.934069544,0.934069544
va_type_age,adult,25-44,level2,EXP1,769,769,37,0.260078023,0.869960988,0.869960988
va_type_age,adult,25-44,level2,EXP2,769,767,34,0.339905361,0.830047319,0.830047319
va_type_age,adult,25-44,level2,EXP3,769,723,37,0.446470871,0.776764565,0.776764565
va_type_age,adult,25-44,level2,EXP4,769,768,36,0.331169403,0.834415299,0.834415299
va_type_age,adult,25-44,level3,EXP1,769,769,68,0.452535761,0.77373212,0.77373212
va_type_age,adult,25-44,level3,EXP2,769,767,69,0.491415221,0.754292389,0.754292389
va_type_age,adult,25-44,level3,EXP3,769,723,71,0.701156682,0.649421659,0.649421659
va_type_age,adult,25-44,level3,EXP4,769,768,67,0.479745747,0.760127127,0.760127127
va_type_age,adult,45-64,level1,EXP1,582,582,5,0.037800687,0.981099656,0.981099656
va_type_age,adult,45-64,level1,EXP2,582,581,5,0.087909813,0.956045093,0.956045093
va_type_age,adult,45-64,level1,EXP3,582,547,5,0.130571628,0.934714186,0.934714186
va_type_age,adult,45-64,level1,EXP4,582,581,5,0.16364131,0.918179345,0.918179345
va_type_age,adult,45-64,level2,EXP1,582,582,27,0.268041237,0.865979381,0.865979381
va_type_age,adult,45-64,level2,EXP2,582,581,28,0.334735111,0.832632444,0.832632444
va_type_age,adult,45-64,level2,EXP3,582,547,28,0.365536478,0.817231761,0.817231761
va_type_age,adult,45-64,level2,EXP4,582,581,28,0.310272016,0.844863992,0.844863992
va_type_age,adult,45-64,level3,EXP1,582,582,61,0.556701031,0.721649485,0.721649485
va_type_age,adult,45-64,level3,EXP2,582,581,58,0.637578296,0.681210852,0.681210852
va_type_age,adult,45-64,level3,EXP3,582,547,61,0.714211224,0.642894388,0.642894388
va_type_age,adult,45-64,level3,EXP4,582,581,59,0.585895866,0.707052067,0.707052067
va_type_age,adult,65+,level1,EXP1,910,910,4,0.059340659,0.97032967,0.97032967
va_type_age,adult,65+,level1,EXP2,910,907,5,0.23296461,0.883517695,0.883517695
va_type_age,adult,65+,level1,EXP3,910,840,4,0.056227106,0.971886447,0.971886447
va_type_age,adult,65+,level1,EXP4,910,910,4,0.312087912,0.843956044,0.843956044
va_type_age,adult,65+,level2,EXP1,910,910,29,0.138461538,0.930769231,0.930769231
va_type_age,adult,65+,level2,EXP2,910,907,28,0.312637968,0.843681016,0.843681016
va_type_age,adult,65+,level2,EXP3,910,840,31,0.177838828,0.911080586,0.911080586
va_type_age,adult,65+,level2,EXP4,910,910,27,0.393406593,0.803296703,0.803296703
va_type_age,adult,65+,level3,EXP1,910,910,67,0.615384615,0.692307692,0.692307692
va_type_age,adult,65+,level3,EXP2,910,907,63,0.558593116,0.720703442,0.720703442
va_type_age,adult,65+,level3,EXP3,910,840,66,0.635714286,0.682142857,0.682142857
va_type_age,adult,65+,level3,EXP4,910,910,61,0.648351648,0.675824176,0.675824176
va_type_age,child,0,level1,EXP1,157,157,4,0.025477707,0.987261146,0.986928105
va_type_age,child,0,level1,EXP2,157,156,5,0.190756165,0.904621917,0.904621917
va_type_age,child,0,level1,EXP3,157,150,5,0.124501062,0.937749469,0.937749469
va_type_age,child,0,level1,EXP4,157,157,5,0.178343949,0.910828025,0.910828025
va_type_age,child,0,level2,EXP1,157,157,20,0.292993631,0.853503185,0.853503185
va_type_age,child,0,level2,EXP2,157,156,22,0.418912298,0.790543851,0.790543851
va_type_age,child,0,level2,EXP3,157,150,27,0.397367304,0.801316348,0.801316348
va_type_age,child,0,level2,EXP4,157,157,21,0.343949045,0.828025478,0.828025478
va_type_age,child,0,level3,EXP1,157,157,31,0.624203822,0.687898089,0.687898089
va_type_age,child,0,level3,EXP2,157,156,33,0.557324841,0.72133758,0.72133758
va_type_age,child,0,level3,EXP3,157,150,38,0.663269639,0.66836518,0.66836518
va_type_age,child,0,level3,EXP4,157,157,31,0.573248408,0.713375796,0.713375796
va_type_age,child,01-Apr,level1,EXP1,578,578,5,0.096885813,0.951557093,0.951557093
va_type_age,child,01-Apr,level1,EXP2,578,578,5,0.069204152,0.965397924,0.965397924
va_type_age,child,01-Apr,level1,EXP3,578,557,5,0.136501152,0.931749424,0.931749424
va_type_age,child,01-Apr,level1,EXP4,578,578,5,0.062283737,0.968858131,0.968858131
va_type_age,child,1 - 4,level2,EXP1,578,578,30,0.256055363,0.871972318,0.871972318
va_type_age,child,01-Apr,level2,EXP2,578,578,29,0.287197232,0.856401384,0.856401384
va_type_age,child,01-Apr,level2,EXP3,578,557,27,0.278425574,0.860787213,0.860787213
va_type_age,child,01-Apr,level2,EXP4,578,578,31,0.24567474,0.87716263,0.87716263
va_type_age,child,01-Apr,level3,EXP1,578,578,48,0.605536332,0.697231834,0.697231834
va_type_age,child,01-Apr,level3,EXP2,578,578,46,0.564013841,0.71799308,0.71799308
va_type_age,child,01-Apr,level3,EXP3,578,557,48,0.620439453,0.689780274,0.689780274
va_type_age,child,01-Apr,level3,EXP4,578,578,48,0.543252595,0.728373702,0.728373702
va_type_age,child,Oct-14,level1,EXP1,34,34,3,0.058823529,0.970588235,0.962962963
va_type_age,child,Oct-14,level1,EXP2,34,34,4,0.058823529,0.970588235,0.970588235
va_type_age,child,Oct-14,level1,EXP3,34,31,3,0.085388994,0.957305503,0.946236559
va_type_age,child,Oct-14,level1,EXP4,34,34,4,0.058823529,0.970588235,0.970588235
va_type_age,child,10 - 14,level2,EXP1,34,34,17,0.588235294,0.705882353,0.705882353
va_type_age,child,Oct-14,level2,EXP2,34,34,17,0.647058824,0.676470588,0.676470588
va_type_age,child,Oct-14,level2,EXP3,34,31,16,0.565464896,0.717267552,0.717267552
va_type_age,child,Oct-14,level2,EXP4,34,34,18,0.647058824,0.676470588,0.676470588
va_type_age,child,Oct-14,level3,EXP1,34,34,26,0.882352941,0.558823529,0.558823529
va_type_age,child,Oct-14,level3,EXP2,34,34,28,0.823529412,0.588235294,0.588235294
va_type_age,child,Oct-14,level3,EXP3,34,31,27,0.924098672,0.537950664,0.537950664
va_type_age,child,Oct-14,level3,EXP4,34,34,28,0.823529412,0.588235294,0.588235294
va_type_age,child,05-Sep,level1,EXP1,140,140,4,0.085714286,0.957142857,0.956521739
va_type_age,child,05-Sep,level1,EXP2,140,140,5,0.071428571,0.964285714,0.964285714
va_type_age,child,05-Sep,level1,EXP3,140,128,5,0.096875,0.9515625,0.9515625
va_type_age,child,05-Sep,level1,EXP4,140,139,5,0.117882837,0.941058582,0.941058582
va_type_age,child,5 - 9,level2,EXP1,140,140,24,0.371428571,0.814285714,0.814285714
va_type_age,child,05-Sep,level2,EXP2,140,140,24,0.371428571,0.814285714,0.814285714
va_type_age,child,05-Sep,level2,EXP3,140,128,25,0.4,0.8,0.8
va_type_age,child,05-Sep,level2,EXP4,140,139,24,0.410996917,0.794501542,0.794501542
va_type_age,child,05-Sep,level3,EXP1,140,140,39,0.7,0.65,0.65
va_type_age,child,05-Sep,level3,EXP2,140,140,38,0.6,0.7,0.7
va_type_age,child,05-Sep,level3,EXP3,140,128,43,0.735267857,0.632366071,0.632366071
va_type_age,child,05-Sep,level3,EXP4,140,139,38,0.667625899,0.66618705,0.66618705
va_type_age,infant,0,level1,EXP1,501,501,6,0.315369261,0.842315369,0.842315369
va_type_age,infant,0,level1,EXP2,501,499,6,0.489329957,0.755335021,0.755335021
va_type_age,infant,0,level1,EXP3,501,421,6,0.206712466,0.896643767,0.896643767
va_type_age,infant,0,level1,EXP4,501,501,6,0.423153693,0.788423154,0.788423154
va_type_age,infant,0,level2,EXP1,501,501,19,0.383233533,0.808383234,0.808383234
va_type_age,infant,0,level2,EXP2,501,499,27,1.002660011,0.498669995,0.498669995
va_type_age,infant,0,level2,EXP3,501,421,22,0.280806558,0.859596721,0.859596721
va_type_age,infant,0,level2,EXP4,501,501,25,0.934131737,0.532934132,0.532934132
va_type_age,infant,0,level3,EXP1,501,501,25,0.39920159680638717,0.8003992015968064,0.8003992015968064
va_type_age,infant,0,level3,EXP2,501,499,32,1.0106440425761702,0.4946779787119149,0.4946779787119149
va_type_age,infant,0,level3,EXP3,501,421,27,0.2808065579055665,0.8595967210472167,0.8595967210472167
va_type_age,infant,0,level3,EXP4,501,501,29,0.938123752,0.530938124,0.530938124
