stratum,va_type,age_group,sex,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_age_sex,adult,15-24,female,level1,EXP1,87,87,3,0.06896551724137923,0.9655172413793104,0.9508196721311476
va_type_age_sex,adult,15-24,female,level1,EXP2,87,87,4,0.06896551724137925,0.9655172413793104,0.9655172413793104
va_type_age_sex,adult,15-24,female,level1,EXP3,87,77,4,0.06060606060606066,0.9696969696969697,0.9696969696969697
va_type_age_sex,adult,15-24,female,level1,EXP4,87,87,4,0.09195402298850573,0.9540229885057472,0.9540229885057472
va_type_age_sex,adult,15-24,female,level2,EXP1,87,87,19,0.32183908045977017,0.8390804597701149,0.8390804597701149
va_type_age_sex,adult,15-24,female,level2,EXP2,87,87,21,0.39080459770114945,0.8045977011494253,0.8045977011494253
va_type_age_sex,adult,15-24,female,level2,EXP3,87,77,19,0.25138080310494104,0.8743095984475295,0.8743095984475295
va_type_age_sex,adult,15-24,female,level2,EXP4,87,87,20,0.48275862068965525,0.7586206896551724,0.7586206896551724
va_type_age_sex,adult,15-24,female,level3,EXP1,87,87,35,0.689655172413793,0.6551724137931034,0.6551724137931034
va_type_age_sex,adult,15-24,female,level3,EXP2,87,87,37,0.6666666666666665,0.6666666666666667,0.6666666666666667
va_type_age_sex,adult,15-24,female,level3,EXP3,87,77,35,0.6281534557396626,0.6859232721301687,0.6859232721301687
va_type_age_sex,adult,15-24,female,level3,EXP4,87,87,38,0.7126436781609196,0.6436781609195402,0.6436781609195402
va_type_age_sex,adult,15-24,male,level1,EXP1,83,83,4,0.09638554216867473,0.9518072289156626,0.948051948051948
va_type_age_sex,adult,15-24,male,level1,EXP2,83,83,4,0.09638554216867473,0.9518072289156626,0.948051948051948
va_type_age_sex,adult,15-24,male,level1,EXP3,83,82,5,0.13282397884219801,0.933588010578901,0.933588010578901
va_type_age_sex,adult,15-24,male,level1,EXP4,83,83,4,0.19277108433734935,0.9036144578313253,0.8961038961038961
va_type_age_sex,adult,15-24,male,level2,EXP1,83,83,25,0.4578313253012048,0.7710843373493976,0.7710843373493976
va_type_age_sex,adult,15-24,male,level2,EXP2,83,83,25,0.48192771084337344,0.7590361445783133,0.7590361445783133
va_type_age_sex,adult,15-24,male,level2,EXP3,83,82,28,0.6203349985307082,0.689832500734646,0.689832500734646
va_type_age_sex,adult,15-24,male,level2,EXP4,83,83,24,0.45783132530120474,0.7710843373493976,0.7710843373493976
va_type_age_sex,adult,15-24,male,level3,EXP1,83,83,43,0.746987951807229,0.6265060240963856,0.6265060240963856
va_type_age_sex,adult,15-24,male,level3,EXP2,83,83,41,0.674698795180723,0.6626506024096386,0.6626506024096386
va_type_age_sex,adult,15-24,male,level3,EXP3,83,82,48,1.0061710255656773,0.49691448721716136,0.49691448721716136
va_type_age_sex,adult,15-24,male,level3,EXP4,83,83,43,0.6987951807228916,0.6506024096385542,0.6506024096385542
va_type_age_sex,adult,25-44,female,level1,EXP1,410,410,4,0.048780487804878064,0.975609756097561,0.975609756097561
va_type_age_sex,adult,25-44,female,level1,EXP2,410,410,4,0.10731707317073175,0.9463414634146341,0.9463414634146341
va_type_age_sex,adult,25-44,female,level1,EXP3,410,379,4,0.18526288692966084,0.9073685565351696,0.9073685565351696
va_type_age_sex,adult,25-44,female,level1,EXP4,410,410,4,0.15121951219512197,0.924390243902439,0.924390243902439
va_type_age_sex,adult,25-44,female,level2,EXP1,410,410,27,0.2292682926829269,0.8853658536585366,0.8853658536585366
va_type_age_sex,adult,25-44,female,level2,EXP2,410,410,26,0.3317073170731708,0.8341463414634146,0.8341463414634146
va_type_age_sex,adult,25-44,female,level2,EXP3,410,379,26,0.39895746187013326,0.8005212690649334,0.8005212690649334
va_type_age_sex,adult,25-44,female,level2,EXP4,410,410,27,0.3170731707317074,0.8414634146341463,0.8414634146341463
va_type_age_sex,adult,25-44,female,level3,EXP1,410,410,52,0.4536585365853659,0.7731707317073171,0.7731707317073171
va_type_age_sex,adult,25-44,female,level3,EXP2,410,410,52,0.4975609756097561,0.751219512195122,0.751219512195122
va_type_age_sex,adult,25-44,female,level3,EXP3,410,379,55,0.7105733959714268,0.6447133020142866,0.6447133020142866
va_type_age_sex,adult,25-44,female,level3,EXP4,410,410,51,0.5121951219512195,0.7439024390243902,0.7439024390243902
va_type_age_sex,adult,25-44,male,level1,EXP1,359,359,5,0.050139275766016664,0.9749303621169917,0.9749303621169917
va_type_age_sex,adult,25-44,male,level1,EXP2,359,357,5,0.06394981390885043,0.9680250930455748,0.9680250930455748
va_type_age_sex,adult,25-44,male,level1,EXP3,359,344,6,0.1941115501716655,0.9029442249141673,0.9029442249141673
va_type_age_sex,adult,25-44,male,level1,EXP4,359,358,5,0.11009788207466424,0.9449510589626678,0.9449510589626678
va_type_age_sex,adult,25-44,male,level2,EXP1,359,359,31,0.3008356545961004,0.8495821727019498,0.8495821727019498
va_type_age_sex,adult,25-44,male,level2,EXP2,359,357,32,0.3662055351388467,0.8168972324305767,0.8168972324305767
va_type_age_sex,adult,25-44,male,level2,EXP3,359,344,35,0.5083079613914621,0.745846019304269,0.745846019304269
va_type_age_sex,adult,25-44,male,level2,EXP4,359,358,31,0.3585067148036913,0.8207466425981543,0.8207466425981543
va_type_age_sex,adult,25-44,male,level3,EXP1,359,359,56,0.4846796657381615,0.7576601671309192,0.7576601671309192
va_type_age_sex,adult,25-44,male,level3,EXP2,359,357,56,0.49518191677785306,0.7524090416110735,0.7524090416110735
va_type_age_sex,adult,25-44,male,level3,EXP3,359,344,65,0.712751830018786,0.643624084990607,0.643624084990607
va_type_age_sex,adult,25-44,male,level3,EXP4,359,358,57,0.4868427195343987,0.7565786402328006,0.7565786402328006
va_type_age_sex,adult,45-64,female,level1,EXP1,318,318,4,0.0880503144654088,0.9559748427672956,0.9559748427672956
va_type_age_sex,adult,45-64,female,level1,EXP2,318,318,4,0.09433962264150943,0.9528301886792453,0.9528301886792453
