stratum,va_type,sex,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_sex,adult,female,level1,EXP1,1239,1239,4,0.03228410008071024,0.9838579499596449,0.9838579499596449
va_type_sex,adult,female,level1,EXP2,1239,1239,4,0.1501210653753027,0.9249394673123487,0.9249394673123487
va_type_sex,adult,female,level1,EXP3,1239,1150,4,0.11925886935466888,0.9403705653226656,0.9403705653226656
va_type_sex,adult,female,level1,EXP4,1239,1238,4,0.21555243493306525,0.8922237825334673,0.8922237825334673
va_type_sex,adult,female,level2,EXP1,1239,1239,29,0.20661824051654556,0.8966908797417272,0.8966908797417272
va_type_sex,adult,female,level2,EXP2,1239,1239,29,0.2953995157384988,0.8523002421307506,0.8523002421307506
va_type_sex,adult,female,level2,EXP3,1239,1150,28,0.279202723093659,0.8603986384531706,0.8603986384531706
va_type_sex,adult,female,level2,EXP4,1239,1238,29,0.3233651610749718,0.838317419462514,0.838317419462514
va_type_sex,adult,female,level3,EXP1,1239,1239,66,0.5714285714285715,0.7142857142857142,0.7142857142857142
va_type_sex,adult,female,level3,EXP2,1239,1239,63,0.5536723163841808,0.7231638418079096,0.7231638418079096
va_type_sex,adult,female,level3,EXP3,1239,1150,63,0.6841843001017652,0.6579078499491173,0.6579078499491173
va_type_sex,adult,female,level3,EXP4,1239,1238,62,0.5836837514228606,0.7081581242885697,0.7081581242885697
va_type_sex,adult,male,level1,EXP1,1214,1214,5,0.02800658978583198,0.985996705107084,0.985996705107084
va_type_sex,adult,male,level1,EXP2,1214,1208,5,0.13191845685545023,0.9340407715722749,0.9340407715722749
va_type_sex,adult,male,level1,EXP3,1214,1139,6,0.09396953598130094,0.9530152320093496,0.9530152320093496
va_type_sex,adult,male,level1,EXP4,1214,1213,5,0.2002414806102478,0.8998792596948761,0.8998792596948761
va_type_sex,adult,male,level2,EXP1,1214,1214,38,0.22405271828665568,0.8879736408566722,0.8879736408566722
va_type_sex,adult,male,level2,EXP2,1214,1208,37,0.33263962381487494,0.8336801880925625,0.8336801880925625
va_type_sex,adult,male,level2,EXP3,1214,1139,41,0.2915821126945947,0.8542089436527026,0.8542089436527026
va_type_sex,adult,male,level2,EXP4,1214,1213,39,0.34815039162505046,0.8259248041874747,0.8259248041874747
va_type_sex,adult,male,level3,EXP1,1214,1214,75,0.49917627677100496,0.7504118616144975,0.7504118616144975
va_type_sex,adult,male,level3,EXP2,1214,1208,73,0.533172589109397,0.7334137054453015,0.7334137054453015
va_type_sex,adult,male,level3,EXP3,1214,1139,75,0.6119186025488413,0.6940406987255794,0.6940406987255794
va_type_sex,adult,male,level3,EXP4,1214,1213,73,0.5626661197814451,0.7186669401092775,0.7186669401092775
va_type_sex,child,female,level1,EXP1,491,491,4,0.052953156822810626,0.9735234215885947,0.9726315789473684
va_type_sex,child,female,level1,EXP2,491,490,5,0.08223118167837401,0.958884409160813,0.958884409160813
va_type_sex,child,female,level1,EXP3,491,464,5,0.0989623569070862,0.950518821546457,0.950518821546457
va_type_sex,child,female,level1,EXP4,491,491,5,0.07739307535641551,0.9613034623217922,0.9613034623217922
va_type_sex,child,female,level2,EXP1,491,491,34,0.23217922606924646,0.8839103869653768,0.8839103869653768
va_type_sex,child,female,level2,EXP2,491,490,34,0.30887401803898756,0.8455629909805062,0.8455629909805062
va_type_sex,child,female,level2,EXP3,491,464,35,0.25248437390266176,0.8737578130486692,0.8737578130486692
va_type_sex,child,female,level2,EXP4,491,491,33,0.2566191446028514,0.8716904276985743,0.8716904276985743
va_type_sex,child,female,level3,EXP1,491,491,57,0.5784114052953157,0.7107942973523422,0.7107942973523422
va_type_sex,child,female,level3,EXP2,491,490,56,0.5275198470426867,0.7362400764786566,0.7362400764786566
va_type_sex,child,female,level3,EXP3,491,464,61,0.6355520050565349,0.6822239974717326,0.6822239974717326
va_type_sex,child,female,level3,EXP4,491,491,53,0.4969450101832994,0.7515274949083504,0.7515274949083504
va_type_sex,child,male,level1,EXP1,421,421,5,0.05700712589073631,0.9714964370546318,0.9714964370546318
va_type_sex,child,male,level1,EXP2,421,421,5,0.06175771971496441,0.9691211401425178,0.9691211401425178
va_type_sex,child,male,level1,EXP3,421,405,5,0.10565086067857248,0.9471745696607138,0.9471745696607138
va_type_sex,child,male,level1,EXP4,421,420,5,0.07674471213663606,0.961627643931682,0.961627643931682
va_type_sex,child,male,level2,EXP1,421,421,32,0.2755344418052257,0.8622327790973872,0.8622327790973872
va_type_sex,child,male,level2,EXP2,421,421,31,0.31353919239904987,0.8432304038004751,0.8432304038004751
va_type_sex,child,male,level2,EXP3,421,405,34,0.3229700008797396,0.8385149995601302,0.8385149995601302
