stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
overall,overall,level1,EXP1,uniform_codes,1000,3866,3866,0.9741334712881531,0.6123043820519548,0.007806996725847893,0.5966872212017843,0.6121752820781947,0.6276567829965888,0.3618290892361983,1.0,0.000999000999000999
overall,overall,level1,EXP1,overall_physician_prior,1000,3866,3866,0.9741334712881531,0.9889535554972448,0.00484207677933706,0.9776895827866703,0.9897664654946208,0.9963264235108895,-0.014820084209091755,0.008,0.9920079920079921
overall,overall,level1,EXP1,stratum_physician_prior,1000,3866,3866,0.9741334712881531,0.989106796116505,0.004741780604982041,0.979001574389924,0.9895040671739701,0.996851220152191,-0.014973324828351897,0.004,0.996003996003996
overall,overall,level1,EXP2,uniform_codes,1000,3866,3857,0.9286299753164777,0.6124643488307083,0.00816986854214622,0.5960196106857957,0.6125958541337464,0.628902511710469,0.3161656264857694,1.0,0.000999000999000999
overall,overall,level1,EXP2,overall_physician_prior,1000,3866,3857,0.9286299753164777,0.9890343194144755,0.004756072666459799,0.9774520976796627,0.9895942432107921,0.9965269027671015,-0.060404344097997775,0.0,1.0
overall,overall,level1,EXP2,stratum_physician_prior,1000,3866,3857,0.9286299753164777,0.9890415956103762,0.004622409980784061,0.9789318946077179,0.9894900526408993,0.9962693210917974,-0.06041162029389846,0.0,1.0
overall,overall,level1,EXP3,uniform_codes,1000,3866,3579,0.9437386016347877,0.612645595619627,0.008191181025518017,0.5970878551954245,0.6129604975054563,0.6277064656515173,0.3310930060151608,1.0,0.000999000999000999
overall,overall,level1,EXP3,overall_physician_prior,1000,3866,3579,0.9437386016347877,0.9885899827919782,0.00459383142115538,0.978765676173492,0.988904414794925,0.9960561070514765,-0.04485138115719045,0.0,1.0
overall,overall,level1,EXP3,stratum_physician_prior,1000,3866,3579,0.9437386016347877,0.9883901528706661,0.004822826277181144,0.9781865083126894,0.9890152687375973,0.9963945286687578,-0.044651551235878384,0.0,1.0
overall,overall,level1,EXP4,uniform_codes,1000,3866,3863,0.9108400910169692,0.6122093388397809,0.00792316895349238,0.5967276321054636,0.6122277209866964,0.6274652077691366,0.29863075217718826,1.0,0.000999000999000999
