va_type,experiment,null_model,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_p2_5,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
adult,EXP1,overall_physician_prior,2453,2453,0.8956379942927029,0.8354261827079935,0.818515497553018,0.8527732463295269,0.0602118115847093,1.0,0.0009990009990009
adult,EXP1,uniform_codes,2453,2453,0.8956379942927029,0.406668841761827,0.3911092985318107,0.4212887438825448,0.4889691525308758,1.0,0.0009990009990009
adult,EXP2,overall_physician_prior,2453,2447,0.8431099688446013,0.8351105390227137,0.816832493228383,0.8536153984870778,0.0079994298218876,0.807,0.1938061938061938
adult,EXP2,uniform_codes,2453,2447,0.8431099688446013,0.4065593452314683,0.3910480698141547,0.4217203657173179,0.4365506236131329,1.0,0.0009990009990009
adult,EXP3,overall_physician_prior,2453,2289,0.8608469190194619,0.8346607533939537,0.8152642799415888,0.852972408825242,0.0261861656255081,0.996,0.0049950049950049
adult,EXP3,uniform_codes,2453,2289,0.8608469190194619,0.4069622556492253,0.3914594019058451,0.4222098453701189,0.4538846633702365,1.0,0.0009990009990009
adult,EXP4,overall_physician_prior,2453,2451,0.8334019426499296,0.8350631780949015,0.8174046216113142,0.8513087967890057,-0.0016612354449718,0.433,0.5674325674325674
adult,EXP4,uniform_codes,2453,2451,0.8334019426499296,0.406620910298623,0.3912277706672312,0.421840612713924,0.4267810323513066,1.0,0.0009990009990009
child,EXP1,overall_physician_prior,912,912,0.8782894736842105,0.5539242590559825,0.5236004390779364,0.5850713501646543,0.324365214628228,1.0,0.0009990009990009
child,EXP1,uniform_codes,912,912,0.8782894736842105,0.346059275521405,0.3249176728869373,0.3699231613611414,0.5322301981628055,1.0,0.0009990009990009
child,EXP2,overall_physician_prior,912,911,0.848902064436613,0.5539152907324915,0.5217111026230208,0.5843460401652688,0.2949867737041215,1.0,0.0009990009990009
child,EXP2,uniform_codes,912,911,0.848902064436613,0.3457311346501655,0.3239513158481351,0.3678646220543884,0.5031709297864475,1.0,0.0009990009990009
child,EXP3,overall_physician_prior,912,869,0.8668652716370904,0.5525894596031877,0.5225279129018933,0.5841417516885428,0.3142758120339026,1.0,0.0009990009990009
child,EXP3,uniform_codes,912,869,0.8668652716370904,0.3459403733172995,0.3239804006523009,0.3681054595476082,0.5209248983197909,1.0,0.0009990009990009
child,EXP4,overall_physician_prior,912,911,0.86532415698962,0.5539814102788095,0.5227684321760746,0.5832799447176298,0.3113427467108104,1.0,0.0009990009990009
child,EXP4,uniform_codes,912,911,0.86532415698962,0.3460569030064307,0.3250227431285627,0.368962828992157,0.5192672539831893,1.0,0.0009990009990009
infant,EXP1,overall_physician_prior,501,501,0.8083832335329342,0.3576919999999999,0.3199999999999999,0.4000499999999999,0.4506912335329342,1.0,0.0009990009990009
infant,EXP1,uniform_codes,501,501,0.8083832335329342,0.3575259999999999,0.3199499999999999,0.3959999999999999,0.4508572335329342,1.0,0.0009990009990009
infant,EXP2,overall_physician_prior,501,499,0.4986699946799787,0.358881390781563,0.3209622244488978,0.3994822645290579,0.1397886038984157,1.0,0.0009990009990009
infant,EXP2,uniform_codes,501,499,0.4986699946799787,0.3594236873747494,0.3208496993987975,0.3992125250501002,0.1392463073052293,1.0,0.0009990009990009
infant,EXP3,overall_physician_prior,501,421,0.8595967210472167,0.3571867173396674,0.3149143705463182,0.4013871733966746,0.5024100037075493,1.0,0.0009990009990009
infant,EXP3,uniform_codes,501,421,0.8595967210472167,0.3581263325415676,0.3174441805225653,0.4007458432304036,0.5014703885056491,1.0,0.0009990009990009
infant,EXP4,overall_physician_prior,501,501,0.5329341317365268,0.3587959999999999,0.32,0.398,0.1741381317365268,1.0,0.0009990009990009
infant,EXP4,uniform_codes,501,501,0.5329341317365268,0.3577919999999999,0.32,0.396,0.1751421317365268,1.0,0.0009990009990009
overall,EXP1,overall_physician_prior,3866,3866,0.8820486290739783,0.9710313065976712,0.9614424320827942,0.9795666235446312,-0.088982677523693,0.0,1.0
overall,EXP1,uniform_codes,3866,3866,0.8820486290739783,0.4316530401034929,0.4188809831824062,0.4434670116429494,0.4503955889704853,1.0,0.0009990009990009
overall,EXP2,overall_physician_prior,3866,3857,0.8093197565689381,0.9708452708252766,0.9611858883949848,0.9794887338791284,-0.1615255142563385,0.0,1.0
overall,EXP2,uniform_codes,3866,3857,0.8093197565689381,0.4314937444427413,0.4200998570834903,0.4439717306380999,0.3778260121261967,1.0,0.0009990009990009
overall,EXP3,overall_physician_prior,3866,3579,0.8595500250281611,0.970157980486285,0.9600418677733088,0.9783838706960648,-0.1106079554581238,0.0,1.0
overall,EXP3,uniform_codes,3866,3579,0.8595500250281611,0.4313456362343655,0.4190269366330184,0.4437638416130892,0.4282043887937956,1.0,0.0009990009990009
overall,EXP4,overall_physician_prior,3866,3863,0.8110435011669065,0.9708618591011215,0.9610260276032376,0.9789908489303268,-0.159818357934215,0.0,1.0
overall,EXP4,uniform_codes,3866,3863,0.8110435011669065,0.4311751534024826,0.418517967756595,0.4438998891195502,0.3798683477644238,1.0,0.0009990009990009
