level,stratum,experiment,n_compared,n_agree,observed_accuracy,n_possible_causes,chance_baseline_k_over_n,pccc,cohen_kappa
level1,Overall,EXP1,3866,3346,0.8654940506983962,7,0.14285714285714285,0.8430763924814622,0.7971671280632221
level1,Overall,EXP2,3866,3151,0.8150543197102949,7,0.14285714285714285,0.7842300396620107,0.7184961968028498
level1,Overall,EXP3,3866,3036,0.785307811691671,7,0.14285714285714285,0.7495257803069495,0.689058207177986
level1,Overall,EXP4,3866,3131,0.8098810139679256,7,0.14285714285714285,0.7781945162959132,0.7104684322035411
level1,Adult,EXP1,2431,2135,0.8782394076511724,7,0.14285714285714285,0.8579459755930344,
level1,Adult,EXP2,2431,2020,0.8309337721102427,7,0.14285714285714285,0.8027560674619496,
level1,Adult,EXP3,2431,1926,0.7922665569724393,7,0.14285714285714285,0.7576443164678457,
level1,Adult,EXP4,2431,1990,0.818593171534348,7,0.14285714285714285,0.7883587001234059,
level1,Child,EXP1,909,792,0.8712871287128713,7,0.14285714285714285,0.8498349834983497,
level1,Child,EXP2,909,754,0.8294829482948295,7,0.14285714285714285,0.801063439677301,
level1,Child,EXP3,909,729,0.801980198019802,7,0.14285714285714285,0.7689768976897691,
level1,Child,EXP4,909,751,0.8261826182618262,7,0.14285714285714285,0.7972130546387972,
level1,Infant,EXP1,501,399,0.7964071856287425,7,0.14285714285714285,0.7624750499001995,
level1,Infant,EXP2,501,359,0.716566866267465,7,0.14285714285714285,0.6693280106453757,
level1,Infant,EXP3,501,363,0.7245508982035929,7,0.14285714285714285,0.6786427145708583,
level1,Infant,EXP4,501,373,0.7445109780439122,7,0.14285714285714285,0.7019294743845641,
level2,Overall,EXP1,3866,2803,0.7250387997930677,53,0.018867924528301886,0.7197510844044729,0.6884241284224907
level2,Overall,EXP2,3866,2310,0.5975168132436627,53,0.018867924528301886,0.589776751959887,0.5415795021925781
level2,Overall,EXP3,3866,2467,0.6381272633212622,53,0.018867924528301886,0.6311681722312865,0.5964010407467096
level2,Overall,EXP4,3866,2323,0.6008794619762028,53,0.018867924528301886,0.5932040670142067,0.5440188824451905
level2,Adult,EXP1,2431,1806,0.7429041546688605,53,0.018867924528301886,0.7379600037971078,
level2,Adult,EXP2,2431,1539,0.6330728095433977,53,0.018867924528301886,0.6260165174192323,
level2,Adult,EXP3,2431,1562,0.6425339366515838,53,0.018867924528301886,0.6356595892794988,
level2,Adult,EXP4,2431,1531,0.6297819827231592,53,0.018867924528301886,0.6226624054678354,
level2,Child,EXP1,909,653,0.7183718371837183,53,0.018867924528301886,0.7129559109757129,
level2,Child,EXP2,909,593,0.6523652365236524,53,0.018867924528301886,0.6456799526106457,
level2,Child,EXP3,909,583,0.6413641364136413,53,0.018867924528301886,0.6344672928831344,
level2,Child,EXP4,909,603,0.6633663366336634,53,0.018867924528301886,0.6568926123381569,
level2,Infant,EXP1,501,328,0.654690618762475,53,0.018867924528301886,0.6480500537386765,
level2,Infant,EXP2,501,168,0.33532934131736525,53,0.018867924528301886,0.3225472132657761,
level2,Infant,EXP3,501,307,0.6127744510978044,53,0.018867924528301886,0.6053278059266083,
level2,Infant,EXP4,501,177,0.3532934131736527,53,0.018867924528301886,0.3408567480423768,
level3,Overall,EXP1,3866,2127,0.5501810657009829,95,0.010526315789473684,0.5453957578892912,0.524710014016266
level3,Overall,EXP2,3866,1730,0.4474909467149509,95,0.010526315789473684,0.44161319082893974,0.4154588913747622
level3,Overall,EXP3,3866,1827,0.4725814795654423,95,0.010526315789473684,0.4669706442416704,0.449768987789519
level3,Overall,EXP4,3866,1729,0.4472322814278324,95,0.010526315789473684,0.44135177378344764,0.4138553515083414
level3,Adult,EXP1,2431,1345,0.5532702591526121,95,0.010526315789473684,0.5485178151010441,
level3,Adult,EXP2,2431,1179,0.48498560263266144,95,0.010526315789473684,0.47950672606492384,
level3,Adult,EXP3,2431,1111,0.45701357466063347,95,0.010526315789473684,0.451237123327236,
level3,Adult,EXP4,2431,1152,0.4738790621143562,95,0.010526315789473684,0.46828203086025366,
level3,Child,EXP1,909,443,0.48734873487348734,95,0.010526315789473684,0.4818949980104394,
level3,Child,EXP2,909,377,0.41474147414741475,95,0.010526315789473684,0.4085153196170681,
level3,Child,EXP3,909,400,0.44004400440044006,95,0.010526315789473684,0.43408702572384905,
level3,Child,EXP4,909,391,0.43014301430143015,95,0.010526315789473684,0.4240807059429348,
level3,Infant,EXP1,501,326,0.6506986027944112,95,0.010526315789473684,0.6469826304837134,
level3,Infant,EXP2,501,165,0.32934131736526945,95,0.010526315789473684,0.3222066505287298,
level3,Infant,EXP3,501,307,0.6127744510978044,95,0.010526315789473684,0.6086550303648023,
level3,Infant,EXP4,501,175,0.34930139720558884,95,0.010526315789473684,0.3423790716439462,
