experiment,level,n_compared,n_agree,accuracy_C,N_possible_causes,pccc
EXP1,level1,3866,3346,0.8654940506983962,7,0.8430763924814622
EXP1,level2,3866,2803,0.7250387997930677,53,0.7197510844044729
EXP1,level3,3866,2127,0.5501810657009829,95,0.5453957578892912
EXP2,level1,3866,3151,0.8150543197102949,7,0.7842300396620107
EXP2,level2,3866,2310,0.5975168132436627,53,0.589776751959887
EXP2,level3,3866,1730,0.4474909467149509,95,0.4416131908289397
EXP3,level1,3866,3036,0.785307811691671,7,0.7495257803069495
EXP3,level2,3866,2467,0.6381272633212622,53,0.6311681722312865
EXP3,level3,3866,1827,0.4725814795654423,95,0.4669706442416704
EXP4,level1,3866,3131,0.8098810139679256,7,0.7781945162959132
EXP4,level2,3866,2323,0.6008794619762028,53,0.5932040670142067
EXP4,level3,3866,1729,0.4472322814278324,95,0.4413517737834476
